Token,Submitted At,Respondent gender,Age Group,Institution category,Please rate your satisfaction with the quality of the lectures you receive,I think the course is designed in a way that meets the current tech industry needs,How many separate industrial trainings are you expected to complete in your department?,What programming languages were you exposed to in the school curriculum?
9392qo8al2b8puggcwqe9392qo84y3af,2023-01-25T12:59:07Z,Male,20 to 24,Polytechnic,1,1.0,1.0,
89zejq0zncwq1ihaw6g89zejm1dsx3j3,2023-01-24T09:53:36Z,Female,20 to 24,University,3,2.0,,SQL
8k959k0qz9rb247nhlxfz68k95958oa7,2023-01-14T14:23:14Z,Male,25 to 29,Polytechnic,3,5.0,2.0,"Java, FORTRAN, BASIC, SQL, Python, Visual Basic, C++, JavaScript, PHP, COBOL"
7ze7dp2c9b1ovo2ad9n7ze7f39dtwxfx,2023-01-25T16:04:11Z,Male,25 to 29,University,5,5.0,1.0,
hb8flcyjeu8bholw82oohb8flcgz71li,2023-01-26T08:26:02Z,Male,20 to 24,College of Education,3,3.0,,BASIC
qnwtn2p1pf5n3ycqnwtnklwmmw7t2xyf,2023-01-24T16:13:29Z,Female,20 to 24,University,3,3.0,1.0,Visual Basic
v7t39zd2k2c930uepiv7t3h6xabhiq9z,2023-01-27T18:39:27Z,Male,20 to 24,University,4,,1.0,"BASIC, Visual Basic"
mtadhpxewpevncqatbsqzsmtadhpxnxj,2023-02-09T12:20:06Z,Female,20 to 24,University,3,3.0,2.0,"JavaScript, SQL, FORTRAN, PHP"
uykr71lasuhd9ouykriijbl23k7lc8fo,2023-01-26T17:35:35Z,Female,20 to 24,University,3,,,
fcteijcz3hrtr14tg4fcteijcz7r8qkv,2023-01-12T22:53:35Z,Male,Below 20,University,2,3.0,1.0,"SQL, Java, C, C#, C++"
jpn2qxxgmtvm0bozsjjpn2q65vz9zte9,2023-01-24T18:25:48Z,Male,25 to 29,University,3,1.0,1.0,
e07js98a2cv76z7le07jsgcz4kukgxvz,2023-01-24T15:03:39Z,Female,20 to 24,University,3,4.0,2.0,"FORTRAN, BASIC, Python"
nee04ffdpsv9hc7v8aiqnbnee04fr8id,2023-02-07T19:43:40Z,Female,20 to 24,Polytechnic,3,,0.0,
v5nx8l6ufsu9lawdev5nx8a65djlb2n9,2023-02-11T08:27:55Z,Male,25 to 29,Polytechnic,3,2.0,1.0,BASIC
pqv0e4kbmbm7c8qnepqw6tqfistexvda,2023-01-15T18:39:10Z,Male,Below 20,Polytechnic,5,5.0,4.0,Python
q2kqrhfcdnjhqvpq5oq2kqrk478homua,2023-01-25T17:42:10Z,Female,20 to 24,University,3,,,
hchz6u52hogmfas6jkrmxhchz6ut5jb1,2023-01-13T18:38:34Z,Male,25 to 29,University,5,4.0,2.0,"C#, C++, C, Java, SQL, R, Visual Basic, MatLab"
1q52gp8tt6434pas33tw1q52gp8a7zxo,2023-02-07T21:39:35Z,Female,25 to 29,University,3,,1.0,
9j3dpiw9aaj9mgkpj0vp9j3dpiao4ma9,2023-01-08T17:51:15Z,Male,20 to 24,University,1,2.0,4.0,"C++, MatLab"
nxv5s29yxmbuuvxqrhrq7nxv5uoqhnzl,2023-01-23T19:45:02Z,Female,25 to 29,Polytechnic,3,3.0,1.0,
x9aj23dnc4fv32o9t1l8x9amllxgjnd4,2023-01-24T22:54:14Z,Female,Below 20,University,3,1.0,,
lkj05l1lgkaqeaxiwplxdlkj05olzrfw,2023-01-13T15:46:09Z,Male,20 to 24,Polytechnic,1,3.0,2.0,
x6asqdrc3lynysgour613x6asqdche2a,2023-01-25T17:11:16Z,Male,20 to 24,University,4,2.0,,
k71156bskx4ta1ub9zwk71151yf4390z,2023-01-09T14:53:01Z,Male,Below 20,University,1,1.0,3.0,"BASIC, FORTRAN"
iy68l1t8t765su8iiy68lu7g2a3yxevz,2023-01-18T13:33:59Z,Male,20 to 24,University,4,4.0,1.0,"C#, Python"
nk3j904fn2dwzkz3ank3jmcbukj4tph3,2023-01-26T18:28:41Z,Male,20 to 24,University,5,4.0,3.0,C++
ez1tged893voexr4ftal23uorpbzprn6,2023-01-24T20:44:16Z,Female,20 to 24,University,2,3.0,,"JavaScript, BASIC"
ntkskr6d7vfcihntk5ydhaw2zr7rwnig,2023-01-25T06:54:46Z,Male,Below 20,University,3,3.0,2.0,
q9eqokawi769jk5apk7mcq9enfu3vlwq,2023-01-23T17:01:43Z,Male,20 to 24,University,3,3.0,2.0,"C++, JavaScript, SQL, C#"
w8no7t79yn35q79rlvvjnsmynnw8no7t,2023-01-25T12:08:33Z,Male,Below 20,University,5,5.0,1.0,
xgz3p9bqq3buoiu5e5xgzxoypidm0hpa,2023-01-27T02:06:39Z,Male,20 to 24,University,3,4.0,2.0,"JavaScript, Python, PHP, BASIC, SQL"
90z12glvsro9v4px90z128z9c1fffkki,2023-01-26T21:49:10Z,Female,20 to 24,University,3,5.0,1.0,
yjmnqb8al749gi64e1yjmnqzhmom6mvx,2023-01-13T12:35:28Z,Male,20 to 24,University,3,3.0,1.0,"Java, C#, C++, C, SQL, PHP"
kpoohtt1aaq6fkpocfi07t4ef8w72629,2023-01-24T21:58:56Z,Female,Below 20,University,4,4.0,,Java
c139iebmh2r0gbsnc1elsna04qvnw0bd,2023-01-25T18:21:26Z,Male,20 to 24,University,5,1.0,2.0,SQL
v8f1s5xp68cidhgptw94pwmv8f1s57g3,2023-01-27T08:48:21Z,Male,20 to 24,University,5,,,
n37u5hh449rwus0n5bqn376r25808i6a,2023-02-09T11:59:17Z,Male,20 to 24,University,3,2.0,1.0,"C++, Python"
yyaho00evxuf7qm7mcyyaho1jtx01ihi,2023-01-24T07:45:43Z,Female,20 to 24,University,3,4.0,2.0,"FORTRAN, Java, C++, Python"
n97ac4mxpuakbssww4r2ke8n97ac4nnw,2023-02-10T08:25:03Z,Male,20 to 24,Polytechnic,3,4.0,1.0,"BASIC, SQL, Python"
k9qc0lfr7s859eaiw5k9qc04i66e7t3w,2023-01-24T17:07:34Z,Male,25 to 29,University,4,4.0,2.0,iOS/Swift
wywsmonl5qkxeuwy1jh0d2qq1do7l7b1,2023-01-27T18:32:52Z,Female,Below 20,University,4,,,
56a1zb4kxmlwtlvv4jal56acjpi8gxx4,2023-01-26T15:30:40Z,Female,20 to 24,University,3,,,
3cw84qhjglsr1sxaxah3cw0bnir8gxri,2023-01-25T17:32:03Z,Female,20 to 24,University,3,,,
y65j99ly6htcm0zdt9w2pdtqy65j99lp,2023-02-08T19:38:01Z,Female,20 to 24,University,4,2.0,1.0,
nt9f0p0enzky2y1revnt9fokpwwcqn57,2023-01-25T17:39:16Z,Female,20 to 24,University,3,,,
juosx8d29e6uyr29tojuosx8dthd00dw,2023-01-26T09:26:38Z,Male,20 to 24,University,5,5.0,1.0,"BASIC, C++, C, JavaScript"
6kfjkm16230asa26kftexxyqhgqdswfh,2023-01-27T05:26:36Z,Female,20 to 24,College of Education,4,,,
ic3p1s4n624m6b5geric3p15u4slhz1w,2023-01-26T08:16:32Z,Female,Below 20,University,2,2.0,2.0,BASIC
7tkyajbw8ukmqekxigd7tkyajbwst0mu,2023-01-25T17:42:43Z,Female,Below 20,University,3,,,
ogn8moluxhzmpogn8rdxey2uxqc02hs5,2023-02-07T20:14:42Z,Male,20 to 24,Polytechnic,2,1.0,1.0,"C#, Python"
0n9xrw8yxqqkf4eh0n9xrtnphsk7mlco,2023-02-07T20:40:31Z,Female,20 to 24,University,3,3.0,1.0,
7sqt28a6t9otquy4s7sqzft0aj906up2,2023-01-26T18:09:42Z,Male,20 to 24,University,3,,,
oig9aht0xoujx5xoaoijoig9ah8s4cjj,2023-01-27T17:48:40Z,Male,20 to 24,Polytechnic,3,2.0,2.0,"C++, Python, Java"
l26490szty9dzql26492iq17wfxm76k7,2023-01-26T10:47:29Z,Male,20 to 24,University,2,,,
7m354j6aq2rnas6ynnub3b77m354pv6i,2023-01-13T13:29:16Z,Male,Below 20,University,4,5.0,1.0,"SQL, Java, JavaScript, C, C#, Python, PHP, C++, R, Visual Basic"
2872am67jc10qr2872amdozfw73udkze,2023-01-26T17:58:13Z,Male,20 to 24,University,3,,,
8ou0dmqzfft3ik8vcl8ou0dmi3hr192c,2023-01-26T17:18:55Z,Male,25 to 29,University,3,,,
1uo8zgfoc5qbrnzt0i291uo8z6khpey2,2023-01-24T20:52:49Z,Male,20 to 24,University,2,2.0,3.0,"BASIC, FORTRAN, C++, C, Visual Basic"
i8c1w0gjbe6cvqoszi8c1wvbmdg5kknj,2023-01-28T10:42:45Z,Female,20 to 24,College of Education,4,,,
g7v1e3uv7btp1lssshg7v1erel5k4uxu,2023-02-08T01:27:41Z,Female,20 to 24,University,3,2.0,,
vw6n0k2kf7j7hq4vw6ryqjgmf3aegtce,2023-01-25T11:11:25Z,Female,20 to 24,University,3,3.0,1.0,
wdno246foe7c5w8cwdno216fo88dui28,2023-01-23T15:23:45Z,Male,25 to 29,University,4,2.0,1.0,
euturm41vmld31xxgqu6zbceuturp9h9,2023-02-10T06:20:57Z,Male,20 to 24,University,3,4.0,1.0,"BASIC, Java, JavaScript, Python"
ufnmlg3btugkq5fibg68ufnmlg0f0twp,2023-01-25T13:41:41Z,Male,20 to 24,University,3,3.0,,
3cerhc0by6xbbux1e3cergu7cymfbcje,2023-01-24T18:07:19Z,Female,20 to 24,Polytechnic,3,3.0,1.0,"C++, BASIC, FORTRAN"
7s1btocrvciedx97s1btos6zdrod64zw,2023-01-26T10:09:08Z,Male,20 to 24,University,3,,,
d0hbrq7qec3s3xp4gmfxd0hbbhwat2wp,2023-01-24T09:20:59Z,Female,20 to 24,University,4,4.0,,
csm76f0zyx9zyacl7xtqcsm76f0zt2sg,2023-02-07T20:22:21Z,Male,20 to 24,University,5,2.0,2.0,
gk6obfugvsd2xo2jygk6ufn9139v403j,2023-02-07T19:54:13Z,Male,Below 20,Polytechnic,4,3.0,1.0,Python
rh27vx8hlguvzh3rh27vmifp81kbgnek,2023-01-26T18:54:34Z,Male,20 to 24,University,3,4.0,3.0,
chhfvd6nvu21qyuygchhfvdporj9pu81,2023-01-25T10:27:54Z,Male,20 to 24,University,5,2.0,2.0,"Java, PHP, FORTRAN, JavaScript, C#, C"
9vmxssxijltdymxmabmh9vmxssxaxykd,2023-02-08T10:02:26Z,Female,20 to 24,University,3,,2.0,
dbx7eq04leyo6z9ubes1dbx7eu7bwmzh,2023-02-09T21:30:07Z,Female,20 to 24,Polytechnic,5,5.0,2.0,
98kzebeg8sxgqak5nbubx98kze6fwn2w,2023-02-07T20:41:09Z,Female,20 to 24,University,2,3.0,3.0,"BASIC, JavaScript, C++, Python"
cwa6k0xi09djqcwa6k7rwh543p4ekcl7,2023-01-25T17:10:55Z,Female,20 to 24,University,3,,,
ahi5ki5vm99n42ja608dahi5kis0b5gz,2023-01-18T10:23:52Z,Male,20 to 24,University,1,3.0,2.0,C++
c5hrqdx04yt7xlpg298sbc5hrqdpohd7,2023-01-29T05:59:18Z,Female,20 to 24,College of Education,4,,1.0,"BASIC, C++"
ls0id2z88beivkp05ls0cnvmbmll9s5z,2023-01-26T10:18:21Z,Male,25 to 29,University,3,3.0,,
25oy89u2wlqmy0m225oa313aoa5llr8n,2023-01-24T18:05:38Z,Male,20 to 24,University,4,,3.0,"FORTRAN, C#, C++, Python"
hzuzxpovqsqnwbzspoghhzuzfn79cet1,2023-01-26T11:34:02Z,Female,20 to 24,University,3,,,
5mhfimn8wp7bjvcbnc5mhfiow795qmin,2023-02-09T17:46:50Z,Female,20 to 24,University,3,1.0,2.0,"FORTRAN, C#, C++, Python, MatLab"
cj2qlm8q61uddilzdcj2ql331c1cd8ed,2023-02-08T04:07:23Z,Female,Below 20,University,4,4.0,,"FORTRAN, BASIC, JavaScript, Java"
wqypc7nqsquowjdqwq3pvdk9qk98aood,2023-02-07T20:59:19Z,Male,20 to 24,University,4,3.0,,"SQL, Java, JavaScript"
dnw2qlz0nik99v0ckdnw2gb0oapsjuy3,2023-01-14T08:28:38Z,Male,Below 20,University,3,3.0,1.0,"Java, C#, C++, Python, SQL, C, Visual Basic"
vuo79gukcgpkpqzvuo79o3uscyetv5fl,2023-01-27T08:45:56Z,Female,20 to 24,University,4,,,
4tksjjss6xqpfwb71jf1h4tksbvnpewf,2023-01-26T10:25:02Z,Female,20 to 24,University,2,,,
wq23fgjvot22t8qnwq23fzc047p5pjao,2023-01-25T17:40:22Z,Male,20 to 24,Polytechnic,4,4.0,,"JavaScript, BASIC, C"
n9wx1cx8f1mystyql1m73ln9wx10sxir,2023-01-26T10:37:35Z,Female,20 to 24,University,1,,,
bww7sdarv9jefyzubww7q7drlei9w5io,2023-02-10T02:47:16Z,Female,20 to 24,Polytechnic,3,3.0,1.0,Python
7y2sd9tlpsp2y5e07y2sd8mvdq0mri7p,2023-01-25T17:38:42Z,Male,25 to 29,University,3,,,
lef0wpbrndgsq774d6k3jqoylef0wpbv,2023-01-24T19:32:12Z,Male,20 to 24,University,2,1.0,1.0,C++
5gzd6l46ux7vj93e065gzda5y0xzkmst,2023-01-23T16:51:15Z,Female,20 to 24,University,3,2.0,2.0,
nd4hpl6eeaop3zi6u4lend4hpi7w537q,2023-02-09T12:10:11Z,Male,20 to 24,University,3,2.0,1.0,
z2j7fxprua80du59z2j7sycwqirb9x1r,2023-01-27T05:38:43Z,Female,20 to 24,College of Education,5,,,
itutrqjwknwn48iitut9a0wlthqscvkn,2023-01-24T18:31:47Z,Female,20 to 24,University,3,3.0,1.0,
lrvcnetoeopc3zlrvvma1t4jtyk0y16x,2023-02-08T11:54:27Z,Female,20 to 24,University,3,1.0,1.0,
p1p54qlm0yccn6hgp1p54c2bka59i9py,2023-01-27T05:16:39Z,Female,Below 20,University,4,4.0,1.0,
1rj2082olj0hdmizmv8dl1rj20b33zwz,2023-02-10T20:25:27Z,Male,20 to 24,Polytechnic,3,3.0,,"C, C++, Python, FORTRAN, BASIC, SQL, Visual Basic"
j3zeirptsts2lbi5j3zeitoynap82xk8,2023-01-26T17:37:58Z,Male,Below 20,University,3,,,
b0f9i2k9iquq6oe03b0fxgroeaiehjjv,2023-01-26T17:27:12Z,Male,20 to 24,University,2,,,
00hkyri92obrfdwt7r27nz26vh00hkyr,2023-01-13T13:07:34Z,Male,20 to 24,Polytechnic,2,2.0,,
nrqv0l8pw13bx07cnrqv0l4r93xkvkvl,2023-01-24T18:16:19Z,Female,25 to 29,Polytechnic,3,4.0,2.0,
1g9g8f80zulovgdugga8cx1g9g8zu1ua,2023-02-09T12:48:46Z,Female,20 to 24,University,4,3.0,1.0,Java
g55vkjhp5q6oepjg55vk2ese14pvszqc,2023-01-26T18:31:50Z,Male,Below 20,University,3,3.0,4.0,Java
unl3t30baicxog38cf4557unl3t30mfi,2023-01-26T19:58:10Z,Male,20 to 24,University,4,4.0,1.0,"SQL, BASIC, FORTRAN"
ee54w4mhf5r7uuee5viiplr4y18glgrq,2023-02-10T20:02:21Z,Female,20 to 24,Polytechnic,5,4.0,5.0,"JavaScript, BASIC, Visual Basic"
26xpbvxp4038ukl79d26xp4r46frlzwh,2023-01-09T21:51:12Z,Male,20 to 24,University,1,1.0,1.0,"FORTRAN, BASIC, C, C++, Pascal"
874bz3smcy6khm2zf88ma874bzidrgs6,2023-01-26T09:35:01Z,Male,20 to 24,University,4,,,
hsfajssdxclrd0fjt17hsfaweufb3ism,2023-02-07T20:44:38Z,Female,20 to 24,University,2,1.0,,
ba12fjt90geq5iy9izba1294f3ltpmhg,2023-01-27T05:36:53Z,Male,Below 20,College of Education,4,,,
awq9al22kk7gy8luhzawq9aytn84s5y1,2023-02-08T02:41:30Z,Male,20 to 24,University,3,2.0,,"C++, Python"
ths7k7cjet5thn1deyqlkp23t42hhd43,2023-01-24T19:18:36Z,Male,20 to 24,University,4,4.0,4.0,"FORTRAN, BASIC, Visual Basic, Python, PHP, C#, C, SQL, Java, JavaScript, C++, Ruby on Rails, MatLab"
ncspo9blw1yhpncsnaf1d31pzfp4kwv1,2023-01-26T10:09:51Z,Male,25 to 29,University,2,,,
pck7fm7myy81uz1m8pck7fm7mr9f4wec,2023-01-26T17:12:38Z,Male,25 to 29,University,4,,1.0,"Visual Basic, Python, C++, C#, Java, JavaScript, BASIC, SQL"
v2sv8pmjo93hg06eueyv2svetl9cxq1m,2023-02-10T19:45:20Z,Female,20 to 24,College of Education,5,4.0,1.0,C++
yi102b6iduy3wuxryi102bxajozxvv0w,2023-01-24T08:06:16Z,Female,20 to 24,University,1,5.0,4.0,"BASIC, JavaScript"
b09mjbeigqlddbzkfpiwkb09mjb9cmyj,2023-01-26T18:04:49Z,Male,Below 20,University,3,,,
x2a2x3yjow395ptsxjl3x2a2xckkdmez,2023-02-10T15:26:42Z,Female,Below 20,University,5,4.0,1.0,"Java, JavaScript, C++, Python"
fbpw2qvzwvpzvssatwfbpw25m2g1z77f,2023-01-26T18:22:17Z,Female,Below 20,University,3,,,
7z8skeqwz0v9wkniu7z8ske9ql6r03fl,2023-01-12T18:55:48Z,Male,20 to 24,Polytechnic,1,2.0,1.0,"Java, C, C++, Python"
fus6i7o6898rvvzeosfus6kxjcsanol1,2023-01-26T09:43:47Z,Female,20 to 24,University,4,3.0,2.0,"FORTRAN, BASIC, JavaScript, Java, Visual Basic"
ivz46ekcoe5i6k6qrivz4eioox7jfndv,2023-02-07T21:01:54Z,Female,20 to 24,University,4,1.0,1.0,
bwhkm84b25tx6qqkga75bwhkm84yeemk,2023-02-07T20:13:00Z,Male,20 to 24,Polytechnic,3,3.0,1.0,"Python, C++"
kwqae2534cn0t3blwc6kwqau7ywn1qxh,2023-01-13T15:10:49Z,Male,20 to 24,Polytechnic,3,3.0,1.0,"Python, Visual Basic, C++, Java, BASIC, FORTRAN"
9piqml5b6o0dbi3o9piqml4zefwbyhki,2023-01-24T08:06:22Z,Female,20 to 24,University,5,4.0,3.0,
bwpfmhbi80i5palodctbwpfmhizdxcw7,2023-02-10T21:45:38Z,Female,25 to 29,University,3,1.0,3.0,
t8g5y2wzasnh9hcp3rt8g5y2wx6x986i,2023-01-27T06:10:58Z,Female,25 to 29,University,1,1.0,,
gldqmgvjxu4ccf0ryqnl9rgldqmg5ayh,2023-01-26T17:29:01Z,Male,25 to 29,University,3,,,
oyh90rs96x6sd56gwgoyh906xfxw2c8w,2023-01-26T17:15:09Z,Female,20 to 24,University,3,,,
84pqo5dcpwjbo39780pjtr784pqo5doi,2023-02-07T19:45:50Z,Male,20 to 24,Polytechnic,4,3.0,1.0,"Python, C++"
d2u422dsna8dd5d2u4q5br3exsug4eks,2023-01-26T09:17:14Z,Female,Below 20,University,4,4.0,1.0,BASIC
48ryokmda8gl2rffd148ryot73v25mjc,2023-01-07T17:02:56Z,Male,20 to 24,University,1,1.0,1.0,"FORTRAN, BASIC, C, C++"
uu814ecie7235etfuu81swdknvjxxzea,2023-01-26T18:16:39Z,Male,20 to 24,University,3,,,
ep1d603h32aak1p7ep1d612ta78e2pbq,2023-01-26T18:08:50Z,Male,20 to 24,University,4,4.0,,
0kxbkslhlzdce0kxbkg474ls4m27jiw1,2023-01-24T18:21:07Z,Female,20 to 24,College of Education,4,,,
unh6mg02uuxa5ssvhpwunh6mggcqjdf0,2023-01-25T10:17:14Z,Female,20 to 24,University,5,4.0,2.0,
4s88hzirginllvrglk8s4s88hzimh246,2023-01-27T05:27:47Z,Male,20 to 24,College of Education,4,,,
9z2o48lkpdmo1eovtk9z2o4imlzcnlht,2023-02-09T12:00:05Z,Female,20 to 24,University,3,3.0,6.0,"Java, Python"
fnaoqfpfuzp1yqvhvg6hifnaoqjw1vad,2023-02-10T18:08:55Z,Male,20 to 24,University,1,1.0,1.0,
acuwvxh2cfcjfey85acuwvwn7rkcd2l4,2023-01-26T18:08:14Z,Female,20 to 24,University,3,,,
