user_id,favorite_sports,odds_format,marketing_opt_in
BB10000124,"Boxing,Rugby",American,1
BB10000126,"Football,Boxing",American,1
BB10000127,Baseball,,FALSE
BB10000128,Baseball,fractional,true
BB10000130,"Cricket,Football,Baseball,Cricket",American,Yes
BB10000131,"Cricket,Rugby,Tennis",Fractional,
BB10000132,"Cricket,Boxing",Dec,false
BB10000133,"Rugby,Cricket,Basketball",,false
BB10000134,"Boxing,Rugby,Rugby",Fractional,TRUE
BB10000135,Hockey,,FALSE
BB10000136,Cricket,fractional,TRUE
BB10000137,Rugby,Decimal,Yes
BB10000138,"Football,Boxing,Rugby",Decimal,
BB10000139,"Golf,Basketball,Tennis,Tennis",Decimal,true
BB10000140,"Cricket,Cricket,Rugby",,TRUE
BB10000142,"Golf,Tennis,Basketball,Hockey,Golf",DECIMAL,Yes
BB10000143,Football,Dec,0
BB10000144,"Football,Boxing,Football,Football",AMERICAN,TRUE
BB10000145,"Tennis,Cricket,Hockey,Basketball",AMERICAN,false
BB10000146,"Golf,Cricket,Tennis,Cricket",,
BB10000147,"Cricket,Hockey,Rugby",fractional,1
BB10000148,Basketball,,No
BB10000149,"Basketball,Football,Cricket",Decimal,false
BB10000150,"Football,Cricket,Tennis,Rugby",,TRUE
BB10000151,Golf,AMERICAN,
BB10000152,Golf,Fractional,1
BB10000154,"Golf,Rugby,Cricket,Hockey",Decimal,No
BB10000157,"Tennis,Boxing,Hockey",Fractional,1
BB10000158,"Hockey,Baseball,Cricket",fractional,No
BB10000159,Rugby,AMERICAN,0
BB10000160,"Basketball,Hockey,Basketball,Tennis",,
BB10000162,"Rugby,Basketball",American,true
BB10000163,"Hockey,Rugby",DECIMAL,Yes
BB10000164,"Hockey,Basketball,Baseball,Rugby",Dec,TRUE
BB10000165,"Boxing,Basketball",AMERICAN,false
BB10000166,Tennis,,TRUE
BB10000168,"Boxing,Hockey,Cricket,Cricket",Fractional,true
BB10000169,Boxing,American,
BB10000170,"Baseball,Basketball,Baseball,Golf,Baseball",,1
BB10000171,"Basketball,Tennis,Tennis,Football",,FALSE
BB10000172,Rugby,fractional,No
BB10000173,"Basketball,Baseball,Golf,Cricket",,TRUE
BB10000174,Rugby,Decimal,false
BB10000175,Baseball,Decimal,No
BB10000176,"Boxing,Baseball",American,false
BB10000177,"Football,Basketball,Boxing,Boxing",Dec,
BB10000178,Baseball,Decimal,No
BB10000179,"Cricket,Cricket,Cricket",American,FALSE
BB10000180,"Boxing,Baseball,Football",,false
BB10000182,"Golf,Baseball,Basketball",AMERICAN,TRUE
BB10000183,Football,American,1
BB10000184,"Football,Football,Boxing,Cricket",American,No
BB10000185,Rugby,fractional,false
BB10000187,"Hockey,Basketball,Baseball,Baseball",,1
BB10000188,"Basketball,Baseball,Hockey,Boxing",AMERICAN,
BB10000189,"Boxing,Baseball,Hockey",,0
BB10000190,"Boxing,Football",,false
BB10000192,"Golf,Baseball,Boxing,Football",,
BB10000193,"Baseball,Basketball",Fractional,Yes
BB10000194,"Hockey,Tennis,Hockey",Fractional,
BB10000195,"Rugby,Football,Rugby",American,No
BB10000196,"Boxing,Boxing",,Yes
BB10000197,"Rugby,Football,Hockey,Golf",DECIMAL,TRUE
BB10000198,Baseball,,1
BB10000199,"Baseball,Boxing,Hockey",,0
BB10000200,"Golf,Basketball,Football",Dec,1
BB10000201,"Basketball,Basketball,Hockey",,
BB10000202,"Hockey,Basketball,Cricket,Football",,true
BB10000203,"Basketball,Tennis,Cricket,Cricket,Basketball",,No
BB10000204,Cricket,Fractional,false
BB10000205,"Rugby,Cricket,Basketball",Decimal,
BB10000207,"Golf,Basketball,Hockey,Basketball",Dec,Yes
BB10000208,"Baseball,Tennis,Boxing,Cricket",fractional,true
BB10000209,"Hockey,Boxing,Baseball",,TRUE
BB10000211,Rugby,,1
BB10000212,"Cricket,Baseball",Decimal,
BB10000213,"Hockey,Golf,Cricket",,No
BB10000214,"Rugby,Basketball,Tennis",fractional,0
BB10000215,"Tennis,Cricket,Hockey,Boxing",,TRUE
BB10000216,"Tennis,Tennis",,FALSE
BB10000217,"Hockey,Baseball,Basketball",DECIMAL,
BB10000218,"Football,Cricket",American,
BB10000219,"Cricket,Hockey",DECIMAL,Yes
BB10000220,"Hockey,Hockey",,true
BB10000221,"Cricket,Boxing",,FALSE
BB10000222,"Boxing,Football,Rugby",fractional,
BB10000223,"Boxing,Golf",American,Yes
BB10000224,Baseball,DECIMAL,TRUE
BB10000225,"Football,Baseball,Basketball",DECIMAL,
BB10000226,"Baseball,Hockey,Tennis,Baseball,Baseball",DECIMAL,false
BB10000227,"Cricket,Golf",fractional,Yes
BB10000228,"Basketball,Basketball",AMERICAN,
BB10000229,"Baseball,Baseball",,No
BB10000231,Boxing,,No
BB10000232,"Basketball,Basketball,Rugby,Football",,TRUE
BB10000233,Rugby,Decimal,true
BB10000234,Football,,false
BB10000235,"Football,Cricket,Baseball,Baseball",Dec,TRUE
BB10000236,"Cricket,Baseball,Rugby,Golf",American,TRUE
BB10000237,"Boxing,Baseball",,TRUE
BB10000238,"Golf,Basketball",Fractional,
BB10000239,"Tennis,Tennis",,true
BB10000240,Cricket,Decimal,Yes
BB10000241,"Rugby,Baseball,Boxing",,Yes
BB10000242,"Rugby,Cricket",Dec,No
BB10000243,"Basketball,Cricket,Baseball,Golf",American,true
BB10000244,"Rugby,Basketball,Tennis,Basketball",AMERICAN,0
BB10000246,Boxing,,0
BB10000247,"Tennis,Hockey,Basketball",,0
BB10000248,"Golf,Baseball",AMERICAN,No
BB10000249,"Golf,Boxing,Baseball,Baseball",AMERICAN,0
BB10000250,Tennis,Dec,0
BB10000251,"Rugby,Tennis,Golf,Hockey",,FALSE
BB10000252,"Basketball,Baseball,Golf",Decimal,false
BB10000253,Baseball,DECIMAL,1
BB10000255,"Football,Rugby,Hockey",Decimal,
BB10000256,Football,fractional,
BB10000257,"Boxing,Hockey,Football,Football",,No
BB10000258,"Football,Hockey,Golf,Tennis",Fractional,true
BB10000260,"Football,Football,Basketball,Golf",Fractional,true
BB10000261,"Tennis,Hockey,Baseball,Tennis",American,No
BB10000263,"Baseball,Baseball",,0
BB10000264,"Baseball,Golf,Cricket,Baseball",Fractional,No
BB10000266,Cricket,Dec,No
BB10000268,"Golf,Cricket,Hockey,Cricket",Fractional,Yes
BB10000269,Football,American,No
BB10000270,Football,fractional,false
BB10000271,"Rugby,Golf,Football,Football",AMERICAN,true
BB10000272,"Boxing,Baseball,Rugby,Hockey",Dec,Yes
BB10000273,"Basketball,Basketball,Tennis,Tennis",DECIMAL,FALSE
BB10000274,"Golf,Basketball,Golf",Dec,No
BB10000275,"Boxing,Boxing,Hockey,Basketball",DECIMAL,1
BB10000276,"Tennis,Baseball,Golf",Dec,TRUE
BB10000277,"Rugby,Golf",,0
BB10000278,"Boxing,Football,Boxing",American,0
BB10000279,"Baseball,Boxing,Baseball",,
BB10000280,"Golf,Boxing,Cricket,Hockey",Fractional,0
BB10000281,"Basketball,Rugby,Rugby",AMERICAN,TRUE
BB10000284,"Golf,Cricket",,true
BB10000285,"Cricket,Hockey,Basketball",fractional,0
BB10000286,"Golf,Cricket,Baseball",Fractional,
BB10000287,Baseball,DECIMAL,
BB10000288,"Hockey,Tennis,Cricket,Basketball",Decimal,0
BB10000289,"Cricket,Baseball,Basketball,Baseball",,
BB10000290,"Basketball,Basketball,Baseball",AMERICAN,TRUE
BB10000291,"Cricket,Golf,Basketball",Fractional,No
BB10000293,"Cricket,Basketball",Dec,FALSE
BB10000294,"Golf,Golf",,No
BB10000295,"Basketball,Boxing,Hockey,Golf",Dec,FALSE
BB10000296,Rugby,Decimal,
BB10000297,"Rugby,Baseball,Golf,Golf",,No
BB10000298,Baseball,Dec,0
BB10000299,Golf,,false
BB10000300,"Basketball,Baseball",Dec,1
BB10000301,"Boxing,Rugby",American,Yes
BB10000302,"Hockey,Golf,Hockey",Dec,Yes
BB10000303,"Baseball,Basketball",DECIMAL,TRUE
BB10000304,"Rugby,Cricket,Football",Dec,Yes
BB10000305,"Golf,Golf,Rugby",Fractional,FALSE
BB10000306,"Boxing,Boxing,Cricket",,Yes
BB10000307,"Rugby,Golf",Decimal,
BB10000308,"Football,Hockey,Basketball,Golf",American,Yes
BB10000309,"Football,Cricket,Football",Decimal,Yes
BB10000310,"Cricket,Football,Cricket",Fractional,0
BB10000311,"Football,Baseball,Boxing,Hockey",Fractional,false
BB10000312,Football,Dec,1
BB10000313,"Football,Rugby",AMERICAN,1
BB10000314,"Boxing,Football,Football,Baseball",Dec,1
BB10000315,Tennis,fractional,true
BB10000316,"Basketball,Rugby,Basketball",DECIMAL,false
BB10000317,Golf,AMERICAN,TRUE
BB10000318,"Baseball,Hockey",,Yes
BB10000319,Hockey,,TRUE
BB10000320,Rugby,Fractional,
BB10000321,"Golf,Cricket",Fractional,TRUE
BB10000322,"Football,Football",Decimal,1
BB10000324,Basketball,fractional,1
BB10000325,"Baseball,Basketball,Hockey",,false
BB10000326,"Football,Boxing,Basketball",Fractional,
BB10000328,Tennis,American,true
BB10000329,"Tennis,Tennis,Hockey,Tennis",Fractional,true
BB10000330,"Hockey,Hockey",fractional,Yes
BB10000331,"Football,Basketball,Rugby,Tennis",,0
BB10000332,"Basketball,Hockey,Basketball",Decimal,true
BB10000333,"Boxing,Baseball,Football,Golf",Decimal,1
BB10000334,Football,Dec,No
BB10000335,Rugby,Dec,true
BB10000336,"Tennis,Tennis",AMERICAN,Yes
BB10000337,"Basketball,Baseball",,TRUE
BB10000339,"Golf,Golf",,Yes
BB10000340,Basketball,DECIMAL,TRUE
BB10000341,"Tennis,Hockey,Football",,FALSE
BB10000343,Football,American,TRUE
BB10000344,Rugby,Decimal,0
BB10000345,"Boxing,Football,Boxing,Boxing",Decimal,TRUE
BB10000346,"Golf,Cricket,Cricket,Cricket",,true
BB10000347,"Rugby,Golf",Fractional,1
BB10000348,"Rugby,Boxing",AMERICAN,FALSE
BB10000349,"Cricket,Basketball,Tennis",fractional,FALSE
BB10000350,"Hockey,Football",Decimal,0
BB10000351,"Cricket,Boxing,Boxing,Basketball",AMERICAN,true
BB10000352,"Hockey,Rugby,Rugby",,1
BB10000353,Football,,No
BB10000354,"Boxing,Cricket",AMERICAN,1
BB10000355,"Baseball,Boxing",AMERICAN,TRUE
BB10000356,"Tennis,Basketball,Basketball",,1
BB10000357,"Tennis,Rugby,Basketball",American,true
BB10000358,"Boxing,Baseball,Rugby,Basketball",DECIMAL,false
BB10000359,"Tennis,Football",Fractional,No
BB10000360,"Basketball,Baseball,Cricket",Decimal,TRUE
BB10000361,"Golf,Cricket,Golf,Football",DECIMAL,false
BB10000362,Tennis,Fractional,TRUE
BB10000363,Golf,,FALSE
BB10000364,"Hockey,Basketball,Hockey,Basketball",DECIMAL,
BB10000365,"Rugby,Tennis,Football",,No
BB10000368,"Basketball,Football,Basketball,Tennis,Basketball",fractional,FALSE
BB10000369,"Football,Golf,Basketball",,
BB10000370,"Tennis,Tennis,Football",Fractional,
BB10000371,"Golf,Boxing",,FALSE
BB10000372,"Golf,Football",,
BB10000373,"Basketball,Baseball",DECIMAL,1
BB10000376,"Hockey,Rugby",Fractional,
BB10000377,"Boxing,Golf,Hockey,Boxing",,false
BB10000378,"Rugby,Rugby",Fractional,false
BB10000379,"Boxing,Tennis,Rugby",American,1
BB10000380,"Football,Hockey,Tennis,Tennis",AMERICAN,
BB10000381,"Tennis,Boxing,Boxing",DECIMAL,FALSE
BB10000382,"Tennis,Cricket,Rugby",Dec,
BB10000383,Golf,,
BB10000384,Basketball,Decimal,FALSE
BB10000386,"Tennis,Boxing",Fractional,0
BB10000387,"Basketball,Boxing,Rugby,Cricket",Fractional,TRUE
BB10000389,"Boxing,Rugby",Dec,true
BB10000390,"Rugby,Rugby,Rugby",fractional,Yes
BB10000391,"Boxing,Golf,Basketball,Tennis",Fractional,
BB10000392,"Rugby,Rugby,Tennis",AMERICAN,No
BB10000393,"Rugby,Hockey,Rugby",DECIMAL,TRUE
BB10000394,"Baseball,Rugby",Dec,true
BB10000395,"Cricket,Baseball",,No
BB10000396,"Boxing,Boxing",,Yes
BB10000397,"Hockey,Hockey",DECIMAL,Yes
BB10000398,"Cricket,Rugby,Golf",,false
BB10000399,"Golf,Boxing",Decimal,1
BB10000401,"Hockey,Hockey,Hockey,Basketball",Fractional,1
BB10000402,Football,American,1
BB10000403,Basketball,Dec,TRUE
BB10000405,"Hockey,Hockey,Baseball",,
BB10000406,"Baseball,Cricket",fractional,true
BB10000407,"Golf,Golf,Golf",American,FALSE
BB10000408,"Basketball,Hockey",,1
BB10000409,Rugby,Decimal,Yes
BB10000410,"Rugby,Rugby",Decimal,
BB10000412,Golf,Decimal,false
BB10000413,"Rugby,Baseball,Cricket",Fractional,false
BB10000414,"Boxing,Boxing",Dec,true
BB10000415,"Baseball,Golf",,false
BB10000416,"Basketball,Football,Golf,Baseball",DECIMAL,Yes
BB10000417,Football,,No
BB10000418,Football,,1
BB10000419,"Hockey,Tennis,Baseball,Cricket",Dec,Yes
BB10000420,"Boxing,Rugby,Boxing,Basketball",,1
BB10000422,"Boxing,Baseball,Basketball,Cricket",,1
BB10000423,"Basketball,Cricket,Football,Tennis",,0
BB10000424,"Golf,Baseball,Rugby",,TRUE
BB10000426,Football,,1
BB10000428,"Tennis,Tennis",Dec,0
BB10000430,"Football,Golf,Tennis,Hockey",,true
BB10000431,Boxing,fractional,
BB10000432,"Hockey,Cricket,Football,Tennis",,No
BB10000433,Football,,Yes
BB10000434,"Baseball,Football,Basketball",Dec,0
BB10000435,"Basketball,Boxing,Basketball,Cricket",,false
BB10000436,"Golf,Rugby,Golf,Hockey,Golf",,FALSE
BB10000437,"Baseball,Basketball",AMERICAN,TRUE
BB10000438,"Tennis,Hockey",American,
BB10000439,"Baseball,Hockey,Rugby",fractional,1
BB10000440,"Golf,Baseball",AMERICAN,TRUE
BB10000441,"Boxing,Cricket,Football",Decimal,0
BB10000442,"Hockey,Baseball",,0
BB10000443,Cricket,,
BB10000444,"Baseball,Football,Cricket",AMERICAN,true
BB10000446,"Boxing,Hockey,Baseball,Rugby",DECIMAL,0
BB10000447,"Hockey,Football",Fractional,TRUE
BB10000448,"Basketball,Rugby,Tennis",American,
BB10000449,Baseball,fractional,
BB10000450,"Golf,Hockey,Golf",,false
BB10000451,"Rugby,Tennis",,
BB10000452,Basketball,DECIMAL,No
BB10000453,Cricket,,No
BB10000454,"Golf,Tennis,Rugby,Tennis,Golf",,
BB10000455,Basketball,Dec,0
BB10000456,"Rugby,Hockey,Baseball,Basketball",Fractional,1
BB10000457,Rugby,Dec,TRUE
BB10000458,Cricket,,false
BB10000459,"Baseball,Baseball",Fractional,Yes
BB10000460,"Baseball,Cricket,Cricket",,TRUE
BB10000461,"Hockey,Basketball,Baseball",AMERICAN,true
BB10000462,"Basketball,Football",Fractional,No
BB10000463,"Basketball,Basketball",American,true
BB10000464,"Rugby,Football,Baseball,Tennis",AMERICAN,0
BB10000466,"Tennis,Golf",American,No
BB10000467,"Basketball,Tennis,Boxing,Baseball",AMERICAN,No
BB10000468,"Golf,Baseball,Golf,Football",,1
BB10000469,"Tennis,Boxing,Tennis",,
BB10000470,Boxing,DECIMAL,
BB10000471,"Rugby,Basketball,Cricket,Hockey",American,
BB10000473,Rugby,American,1
BB10000474,"Rugby,Rugby",,true
BB10000475,"Tennis,Tennis,Tennis,Baseball",Dec,FALSE
BB10000476,Hockey,,Yes
BB10000477,"Rugby,Rugby,Cricket",Fractional,TRUE
BB10000478,"Golf,Cricket",,true
BB10000479,"Cricket,Tennis",American,No
BB10000480,Rugby,Fractional,FALSE
BB10000481,"Rugby,Cricket",American,
BB10000483,Basketball,Dec,true
BB10000484,"Hockey,Basketball,Rugby",DECIMAL,1
BB10000485,"Rugby,Golf",,false
BB10000486,"Basketball,Football,Golf,Hockey",Fractional,true
BB10000487,Football,,TRUE
BB10000488,"Boxing,Baseball,Cricket",Dec,false
BB10000489,"Golf,Tennis,Boxing",Dec,true
BB10000490,Rugby,,No
BB10000491,Basketball,,No
BB10000492,"Baseball,Cricket,Boxing,Golf",fractional,No
BB10000493,"Baseball,Boxing,Rugby,Baseball",American,
BB10000494,"Boxing,Rugby,Baseball,Boxing",Decimal,1
BB10000495,"Football,Tennis,Cricket,Rugby",Dec,
BB10000496,Hockey,,
BB10000497,"Basketball,Boxing,Golf",Decimal,true
BB10000498,Hockey,Dec,0
BB10000499,Hockey,,No
BB10000500,"Tennis,Hockey,Golf",,
BB10000503,Boxing,fractional,TRUE
BB10000504,"Baseball,Hockey",Decimal,Yes
BB10000506,"Baseball,Tennis",,Yes
BB10000507,Cricket,,FALSE
BB10000508,"Hockey,Tennis",DECIMAL,0
BB10000509,"Boxing,Basketball",AMERICAN,false
BB10000512,"Rugby,Baseball,Golf,Football",,Yes
BB10000513,"Cricket,Baseball,Basketball",,
BB10000514,"Golf,Basketball",Decimal,
BB10000515,Tennis,,Yes
BB10000516,"Cricket,Golf,Basketball",Dec,1
BB10000517,"Boxing,Baseball",Dec,1
BB10000518,Basketball,,No
BB10000519,"Tennis,Boxing,Football,Tennis",DECIMAL,FALSE
BB10000520,Golf,,Yes
BB10000521,"Basketball,Boxing,Hockey,Basketball",American,Yes
BB10000522,"Baseball,Golf,Football,Rugby",American,No
BB10000523,"Boxing,Football,Basketball,Tennis",fractional,TRUE
BB10000524,"Boxing,Hockey,Baseball,Golf",Decimal,0
BB10000525,Basketball,,FALSE
BB10000526,Baseball,Fractional,1
BB10000528,"Tennis,Tennis,Tennis,Rugby",Decimal,
BB10000529,"Boxing,Golf,Boxing",American,
BB10000530,"Rugby,Rugby,Rugby,Golf",AMERICAN,0
BB10000531,"Tennis,Cricket,Basketball,Football",American,FALSE
BB10000532,"Hockey,Golf,Football,Cricket",Decimal,0
BB10000533,"Cricket,Basketball,Baseball,Cricket",Dec,
BB10000534,"Tennis,Baseball,Boxing",American,false
BB10000535,"Tennis,Rugby,Basketball,Football,Tennis",American,Yes
BB10000536,"Baseball,Tennis,Basketball,Golf",,FALSE
BB10000537,Tennis,Decimal,TRUE
BB10000539,"Hockey,Tennis",,0
BB10000540,"Tennis,Hockey,Basketball,Baseball,Tennis",DECIMAL,Yes
BB10000541,"Rugby,Football",fractional,Yes
BB10000542,Boxing,Dec,1
BB10000543,Cricket,,1
BB10000544,Tennis,AMERICAN,true
BB10000546,Basketball,AMERICAN,FALSE
BB10000547,Baseball,Decimal,FALSE
BB10000548,"Basketball,Basketball,Cricket,Baseball",,
BB10000549,"Boxing,Golf,Golf",American,No
BB10000550,"Tennis,Football",DECIMAL,FALSE
BB10000551,"Rugby,Tennis",,true
BB10000552,"Basketball,Football",Decimal,TRUE
BB10000553,"Football,Basketball,Baseball,Football",,false
BB10000554,Cricket,AMERICAN,true
BB10000555,"Golf,Baseball,Boxing,Golf",,0
BB10000556,"Basketball,Rugby",,TRUE
BB10000557,"Baseball,Baseball,Cricket",,No
BB10000558,"Hockey,Hockey,Golf,Hockey",Dec,No
BB10000559,"Cricket,Golf",,TRUE
BB10000562,Golf,fractional,0
BB10000563,Baseball,,1
BB10000565,"Basketball,Cricket",fractional,TRUE
BB10000566,"Baseball,Baseball",Fractional,Yes
BB10000568,"Football,Football,Baseball,Cricket",Fractional,0
BB10000569,Rugby,,No
BB10000570,"Tennis,Baseball",Dec,
BB10000572,"Basketball,Cricket,Golf,Baseball",Dec,1
BB10000573,"Rugby,Golf,Rugby,Basketball",DECIMAL,Yes
BB10000574,"Baseball,Rugby,Basketball",DECIMAL,true
BB10000575,"Hockey,Rugby",American,0
BB10000576,"Basketball,Baseball,Football",American,Yes
BB10000578,Tennis,,
BB10000579,"Golf,Rugby,Hockey",Dec,
BB10000581,"Basketball,Baseball,Tennis",Fractional,Yes
BB10000582,"Boxing,Football,Boxing",Dec,false
BB10000583,"Boxing,Golf,Basketball,Golf",Decimal,
BB10000584,"Cricket,Cricket,Basketball",fractional,
BB10000585,Rugby,Decimal,Yes
BB10000586,"Hockey,Rugby,Football",DECIMAL,1
BB10000587,"Hockey,Tennis,Golf",,0
BB10000588,"Baseball,Hockey,Hockey",American,1
BB10000589,Basketball,Decimal,TRUE
BB10000590,"Cricket,Hockey,Hockey",DECIMAL,1
BB10000592,"Rugby,Rugby,Rugby",,FALSE
BB10000594,"Baseball,Cricket,Boxing,Golf",Decimal,true
BB10000595,"Tennis,Baseball,Basketball,Basketball",,FALSE
BB10000596,"Boxing,Cricket,Baseball,Rugby",Dec,
BB10000597,Golf,Decimal,0
BB10000598,"Hockey,Football,Cricket,Baseball",,Yes
BB10000599,"Golf,Cricket,Rugby,Golf",American,FALSE
BB10000601,"Boxing,Hockey",Dec,true
BB10000602,"Boxing,Football",American,false
BB10000604,"Football,Baseball,Baseball",American,TRUE
BB10000606,"Rugby,Rugby,Basketball",Decimal,Yes
BB10000607,"Tennis,Basketball,Hockey,Hockey,Tennis",Decimal,FALSE
BB10000608,Rugby,,FALSE
BB10000610,"Boxing,Tennis",DECIMAL,
BB10000612,"Basketball,Basketball",fractional,false
BB10000614,"Basketball,Tennis",,FALSE
BB10000615,"Hockey,Football,Tennis",Fractional,
BB10000617,Baseball,,0
BB10000618,Rugby,Fractional,Yes
BB10000619,"Tennis,Rugby,Rugby",,FALSE
BB10000620,"Boxing,Tennis",Fractional,
BB10000621,Baseball,Dec,No
BB10000622,"Football,Basketball",fractional,
BB10000623,Basketball,Decimal,0
BB10000624,"Hockey,Golf,Golf,Hockey",American,
BB10000625,"Boxing,Cricket,Baseball,Boxing",AMERICAN,true
BB10000626,"Boxing,Boxing,Cricket",Decimal,TRUE
BB10000627,"Rugby,Cricket",fractional,No
BB10000628,"Cricket,Golf,Tennis",DECIMAL,1
BB10000630,"Hockey,Cricket,Hockey",,No
BB10000631,"Baseball,Basketball,Boxing",American,true
BB10000632,Football,Fractional,true
BB10000634,"Football,Baseball,Rugby",fractional,No
BB10000635,Tennis,,0
BB10000636,"Tennis,Hockey,Boxing",fractional,No
BB10000637,Basketball,Fractional,false
BB10000638,"Baseball,Hockey",,Yes
BB10000639,"Baseball,Baseball",,false
