document_id,user_id,document_type,upload_date,status,verified_by
600d37cf-89fa-452c-8562-ffa25503525c,BB10000026,Driver License,2024-01-18,Pending,chloe.clark@boltbettingcompliance.com
9c91fc7a-588c-404a-877e-fd2ceb73bf85,BB10000026,National ID,2024-02-18,,chloe.clark@boltbettingcompliance.com
7f9c98bf-9f63-44cc-84a2-a716fc9c2e08,BB10000026,National ID,2024-03-05,Pending,alex.robinson@boltbettingcompliance.com
791dcd89-b58b-4f8e-b6e4-5612c1b475e6,BB10000026,National ID,2024-04-16,Rejected,chloe.clark@boltbettingcompliance.com
4df9984a-57f9-4a8e-9b46-7afedfe54d3c,BB10000027,National ID,2023-06-22,invalid,
f4069f5c-7d5a-4d2e-b5e3-0281a9e495ad,BB10000027,Passport,2023-08-06,Verified,olivia.thomas@boltbettingcompliance.com
4e6fa56d-0f31-40f2-b4a0-a311563381eb,BB10000027,Driver License,2023-09-04,UNKNOWN,zoe.lee@boltbettingcompliance.com
fb295699-3ac2-40e9-9a6d-e69605d04dad,BB10000028,Utility Bill,2023-06-16,,ryan.harris@boltbettingcompliance.com
e1623ae8-1fdb-47c2-8809-b4150bc9f607,BB10000028,Utility Bill,2023-08-01,invalid,alex.robinson@boltbettingcompliance.com
9632b73e-828a-4510-9c96-870304fdc0e5,BB10000028,Utility Bill,2023-08-06,,emma.white@boltbettingcompliance.com
96a9d8bf-7057-4a66-beec-4b533c7902f6,BB10000028,Driver License,2023-08-20,invalid,
13efb05c-4f81-41ce-9a52-965585a6fa00,BB10000028,Driver License,2023-08-31,Verified,sarah.davis@boltbettingcompliance.com
c937e6ea-c17a-4b40-9b25-8c91f23f3e26,BB10000028,Driver License,2023-10-08,,megan.martin@boltbettingcompliance.com
5ebc4e6a-3318-40dc-bd5d-1d05228dc425,BB10000028,Passport,2023-07-08,,emily.jones@boltbettingcompliance.com
01855d4b-86a1-4f82-a6eb-02eb8bf65fed,BB10000030,Passport,2023-09-07,UNKNOWN,kevin.moore@boltbettingcompliance.com
8090021a-642a-4dd8-aa05-887b4f7eb1e5,BB10000030,Passport,2023-09-21,Pending,michael.brown@boltbettingcompliance.com
0e7a1017-aca3-4e77-9c77-8844994fb77f,BB10000031,Driver License,2024-01-19,Verified,daniel.miller@boltbettingcompliance.com
a25fc0cc-3954-44a4-9ddb-d77151f35b60,BB10000031,Driver License,2024-01-26,Rejected,emma.white@boltbettingcompliance.com
c0b301d7-9251-4a8c-a384-163a593e5bb5,BB10000031,National ID,2023-10-11,Pending,brian.anderson@boltbettingcompliance.com
09254dbf-c8f4-43f6-8e90-cfc72c53b484,BB10000033,National ID,2023-10-12,UNKNOWN,
d7b05f14-dcc3-43b7-9429-badc7c582268,BB10000034,Passport,2023-08-13,,ryan.harris@boltbettingcompliance.com
b515049a-d3a9-415f-a276-c5dacba028ff,BB10000034,Passport,2023-09-12,Rejected,nathan.lewis@boltbettingcompliance.com
e15ac107-a5bc-4b2f-ae02-106b75da54b2,BB10000034,Passport,2023-10-18,invalid,kevin.moore@boltbettingcompliance.com
22325927-00ec-4ec2-a290-84c37c1c5def,BB10000034,Driver License,2023-08-21,,emma.white@boltbettingcompliance.com
7971f219-0b5b-45d6-92ca-f35dbe1e0691,BB10000034,Driver License,2023-09-23,Pending,joshua.jackson@boltbettingcompliance.com
3de7bbcd-931e-43ee-9b71-71148e965d49,BB10000035,National ID,2024-04-20,Verified,ryan.harris@boltbettingcompliance.com
0cb70b35-d7f3-4dcc-b4d2-b63af01ec887,BB10000035,Utility Bill,2024-01-20,,jane.doe@boltbettingcompliance.com
7ff40012-c988-4302-b98e-f6a09b8cf34e,BB10000035,Utility Bill,2024-02-21,Pending,zoe.lee@boltbettingcompliance.com
da4f993c-4e26-4505-9821-30c56df8b2b1,BB10000035,Passport,2024-01-09,invalid,megan.martin@boltbettingcompliance.com
ad40f31f-8f22-4ae7-bea7-4af9d4d53823,BB10000039,Driver License,2023-07-18,invalid,chloe.clark@boltbettingcompliance.com
92b445cc-20b3-4ded-a3f2-552f92b1a9ef,BB10000039,Driver License,2023-09-04,UNKNOWN,joshua.jackson@boltbettingcompliance.com
746dff99-d853-42b3-ab30-afb36a363a22,BB10000039,Passport,2024-02-07,Verified,nathan.lewis@boltbettingcompliance.com
a04735c3-02d9-40af-a988-a625d59749cc,BB10000039,National ID,2023-07-31,,jane.doe@boltbettingcompliance.com
163a881e-cc46-4c6c-ae19-a91f8fdb5014,BB10000039,National ID,2023-08-20,Rejected,john.smith@boltbettingcompliance.com
662ddea9-c5f9-4dc3-a6a2-c0c22fff38a2,BB10000042,Passport,2023-10-24,Rejected,
936545b1-38a8-4a87-a602-02d5b08dc552,BB10000042,Passport,2023-11-06,invalid,benjamin.walker@boltbettingcompliance.com
6296bd27-68d6-49e4-b14f-6960a1ed45fb,BB10000042,Utility Bill,2024-05-18,Rejected,ryan.harris@boltbettingcompliance.com
81745032-a90d-43e3-9c05-ffe897069511,BB10000042,National ID,2024-01-20,Verified,lisa.wilson@boltbettingcompliance.com
1d047145-dd58-4edd-8e7b-f6797d2e04fa,BB10000042,National ID,2024-01-29,UNKNOWN,nathan.lewis@boltbettingcompliance.com
4f0b9d84-8797-4e32-bc54-133264bd18d5,BB10000043,Utility Bill,2023-12-20,Rejected,megan.martin@boltbettingcompliance.com
acf207ad-77b6-4860-9c9a-a2add6e72eed,BB10000043,Driver License,2024-02-07,invalid,lisa.wilson@boltbettingcompliance.com
27769e98-8c5c-403f-a15b-e51cc3c04c1c,BB10000043,Passport,2024-04-09,Rejected,emily.jones@boltbettingcompliance.com
e7796d93-d99f-482a-9fc5-70223bc67416,BB10000043,Passport,2024-04-29,invalid,megan.martin@boltbettingcompliance.com
5d19e813-a057-4f3d-a762-eef2f6ee31c4,BB10000044,Utility Bill,2024-02-17,,benjamin.walker@boltbettingcompliance.com
4d60c9cb-57ba-4b21-98ef-05e038154f6d,BB10000044,Driver License,2023-08-26,invalid,jane.doe@boltbettingcompliance.com
aaabd7a3-b8cf-42ca-b212-eff32c4e8464,BB10000044,Driver License,2023-09-07,invalid,
920f30cb-2200-4a54-a495-8c22bbd9c263,BB10000044,Driver License,2023-10-19,,daniel.miller@boltbettingcompliance.com
7b6b27f8-cb17-48e3-9852-75fa838659e9,BB10000045,Utility Bill,2023-05-30,Rejected,daniel.miller@boltbettingcompliance.com
f15e86b3-b4cc-4364-a9ee-1326b48cd591,BB10000046,Passport,2023-09-09,Rejected,emma.white@boltbettingcompliance.com
46dd45fc-6faf-4f36-85ad-805505e6b49e,BB10000046,Driver License,2023-09-10,invalid,john.smith@boltbettingcompliance.com
9e09bba0-52b5-465f-b68e-c5a49187c572,BB10000047,Utility Bill,2023-07-29,Rejected,alex.robinson@boltbettingcompliance.com
767998f7-7432-4ceb-8575-be524af316bc,BB10000047,Passport,2024-04-24,Pending,jane.doe@boltbettingcompliance.com
7310c8f3-0581-4e49-85fc-1e0ff65689e2,BB10000047,Passport,2024-06-12,Verified,michael.brown@boltbettingcompliance.com
3e09117f-b2a6-42df-9d9b-0a74fb165746,BB10000047,National ID,2024-04-01,invalid,ryan.harris@boltbettingcompliance.com
87c92f99-b64e-4587-b4f0-814df6df04cf,BB10000047,National ID,2024-04-29,,emma.white@boltbettingcompliance.com
b6ddf564-fe90-4089-a607-cbe4b2fc0f97,BB10000047,National ID,2024-06-14,Pending,laura.taylor@boltbettingcompliance.com
02c42184-a649-4b61-bff1-cad407b4d157,BB10000048,National ID,2023-09-26,invalid,alex.robinson@boltbettingcompliance.com
1dd28382-abe8-4461-8d55-a95643d2cc50,BB10000048,National ID,2023-10-15,Rejected,nathan.lewis@boltbettingcompliance.com
c59f2ff4-edd7-4045-91c8-ab543cd9cb8d,BB10000048,Passport,2024-01-25,Pending,kevin.moore@boltbettingcompliance.com
b4d76dba-33f6-4ac9-aea2-c1bc1874af82,BB10000048,Passport,2024-02-12,,emma.white@boltbettingcompliance.com
6d47af86-8f5f-4592-a52c-b5c36b0db5ea,BB10000048,Driver License,2023-10-04,,sarah.davis@boltbettingcompliance.com
75ab1a4d-0611-4348-9431-14e1dedda010,BB10000048,Driver License,2023-11-26,Verified,megan.martin@boltbettingcompliance.com
115219c2-ac14-4c27-99bd-e1d7c9257fab,BB10000051,Passport,2024-04-14,Rejected,emma.white@boltbettingcompliance.com
e8c1d26a-22a3-4a82-a126-29f81f45c064,BB10000052,Utility Bill,2023-10-24,invalid,
96246cea-bf4a-436e-8477-31fdc4a208b0,BB10000052,Utility Bill,2023-11-29,Verified,michael.brown@boltbettingcompliance.com
e119bdff-ebd5-414d-8b63-fa2e9b246eb4,BB10000052,Driver License,2023-08-18,Rejected,john.smith@boltbettingcompliance.com
f932b660-169b-486b-ac1e-743bcd01e911,BB10000052,National ID,2023-08-20,Pending,ryan.harris@boltbettingcompliance.com
4269f194-e40a-4334-b7eb-e54f798db8f4,BB10000055,Driver License,2023-12-19,Rejected,jane.doe@boltbettingcompliance.com
e25e3df6-8877-40a9-9e6e-d5fbf8abf5ad,BB10000055,Utility Bill,2023-08-29,Pending,
c2de434b-36a5-40cc-a4d9-b987d47406d3,BB10000055,Passport,2024-01-07,,megan.martin@boltbettingcompliance.com
2368b731-7783-4ec2-ac78-2c1b3e9ff404,BB10000056,Scan_Passport,2024-04-11,invalid,brian.anderson@boltbettingcompliance.com
bafc5848-a101-4898-a970-98cbf7f783be,BB10000056,Utility Bill,2023-10-01,invalid,john.smith@boltbettingcompliance.com
335ff319-974b-4cd8-873d-0549c2a81a57,BB10000057,Driver License,2023-08-04,Pending,sarah.davis@boltbettingcompliance.com
2216b3c7-fe6d-466d-9582-d30fc641d07a,BB10000057,Driver License,2023-09-16,Verified,megan.martin@boltbettingcompliance.com
7ed4bf9e-966a-4596-a985-6770c025068e,BB10000057,National ID,2024-06-05,Rejected,ryan.harris@boltbettingcompliance.com
77f921d2-f6f1-46b3-9d58-e38cc13b5361,BB10000058,National ID,2023-12-06,,brian.anderson@boltbettingcompliance.com
ebf13e27-667c-47d6-95ca-9d16fccddbca,BB10000058,Passport,2023-07-11,Verified,kevin.moore@boltbettingcompliance.com
4351a68a-3b9b-4a45-95ed-76054c69ffc3,BB10000059,National ID,2023-06-12,Verified,laura.taylor@boltbettingcompliance.com
f02a1f2f-68bb-400e-b2d7-bf22dd9301b5,BB10000059,Passport,2023-06-21,Pending,benjamin.walker@boltbettingcompliance.com
d05f70c4-6adf-4912-9ab8-f35ca62d749b,BB10000059,Passport,2023-08-16,invalid,emily.jones@boltbettingcompliance.com
b163cf1a-c6b8-4e7e-8781-b458e8ae6f9c,BB10000059,Passport,2023-09-08,Rejected,michael.brown@boltbettingcompliance.com
5293eae2-69d8-4ada-968b-2298fa3413a2,BB10000059,Driver License,2024-01-08,Verified,
f711ac2b-87d4-4d4b-8a0f-19c05343070c,BB10000060,Utility Bill,2024-03-13,Verified,benjamin.walker@boltbettingcompliance.com
baf5a2d9-f9ab-4bf9-9cef-09e0c5cace2a,BB10000060,Utility Bill,2024-03-24,Rejected,megan.martin@boltbettingcompliance.com
7a33b58e-5134-418e-906e-fa364eb55cb4,BB10000060,National ID,2023-10-31,Rejected,joshua.jackson@boltbettingcompliance.com
3a6ed421-8865-4b5a-9727-35016b159042,BB10000060,Passport,2023-07-01,,
a6b19eef-e1e5-4ec1-9a38-b24af9917c4c,BB10000060,Passport,2023-07-01,Verified,kevin.moore@boltbettingcompliance.com
41e6c648-6fbe-4b95-a59d-f2b9d41b7059,BB10000060,Passport,2023-08-06,Verified,nathan.lewis@boltbettingcompliance.com
2e7ea138-6ff2-4cf8-8c51-b3e3d35d7bb7,BB10000061,Driver License,2023-10-22,Pending,nathan.lewis@boltbettingcompliance.com
581e6588-baf2-4fb6-978c-38a791636c25,BB10000061,National ID,2024-05-06,Pending,
5774d02e-9db0-427b-9629-c0779f364201,BB10000061,National ID,2024-06-15,Verified,john.smith@boltbettingcompliance.com
e4aa0c5b-8c6a-409c-9e0e-649b5b18d17e,BB10000064,Passport,2023-12-18,invalid,
1637d470-ba81-45cb-9152-64940ab4ae70,BB10000064,Driver License,2024-05-11,Verified,
5854b1e1-a57f-4aa9-ac02-44470fe1615f,BB10000065,Utility Bill,2024-03-28,invalid,sarah.davis@boltbettingcompliance.com
cea7ba55-ae0d-4a5d-9b8a-764131afc489,BB10000065,Utility Bill,2024-05-04,Rejected,benjamin.walker@boltbettingcompliance.com
70240883-3850-475c-ae63-ddb2bb71fa36,BB10000065,Passport,2023-05-16,Verified,nathan.lewis@boltbettingcompliance.com
18a12b9b-6b7a-4389-baba-6832d436dc4b,BB10000065,Passport,2023-06-26,Pending,megan.martin@boltbettingcompliance.com
678164af-247f-4b7c-b0cf-2bb06292aea1,BB10000066,National ID,2024-02-17,,
c02b7552-2199-459b-bc04-ab471268621e,BB10000066,National ID,2024-02-29,Rejected,nathan.lewis@boltbettingcompliance.com
9e2db5ef-61af-428c-bfc9-e5cb35ae41ec,BB10000066,National ID,2024-04-13,Rejected,ryan.harris@boltbettingcompliance.com
b0d1e462-fc51-47b8-9171-d1e0a62d2a06,BB10000066,Driver License,2024-02-08,Verified,benjamin.walker@boltbettingcompliance.com
49291a5b-3a0d-4eca-9e55-b7a2213dcb3f,BB10000066,Driver License,2024-02-27,Pending,alex.robinson@boltbettingcompliance.com
d14541ba-7c46-47c6-a44b-882051ef25cc,BB10000067,Passport,2023-12-15,,benjamin.walker@boltbettingcompliance.com
037fc62e-625a-4027-b0ad-f0b858996cec,BB10000067,Driver License,2023-09-12,Rejected,
dbdb81ce-7b9e-4605-ba69-07cad376c631,BB10000068,Passport,2024-01-15,,
f43b2a5a-255d-4215-9cea-3141435acd3a,BB10000068,Passport,2024-01-29,invalid,ryan.harris@boltbettingcompliance.com
f53a4c35-22bd-41aa-80ab-236401063c8d,BB10000068,Utility Bill,2023-06-28,invalid,john.smith@boltbettingcompliance.com
9dd47a72-6cc8-4eab-852d-5c64c89f3bf8,BB10000071,Utility Bill,2023-10-22,Pending,michael.brown@boltbettingcompliance.com
46bc842b-984d-4b08-bfaf-6f8bed3d5fb9,BB10000071,National ID,2023-11-08,,brian.anderson@boltbettingcompliance.com
ff3c77c2-15b5-4d7f-89b3-d2710a1d7a47,BB10000071,National ID,2023-12-09,Verified,
ac75ee30-02db-47c0-aab8-5b4efdfe4a4b,BB10000073,Passport,2024-05-04,Pending,nathan.lewis@boltbettingcompliance.com
2a0bbb2c-eb3a-48d1-a646-1805e444a4b8,BB10000073,Utility Bill,2024-04-17,UNKNOWN,
506c57de-1a9e-484b-b82f-813e64e710f8,BB10000073,Utility Bill,2024-04-22,,olivia.thomas@boltbettingcompliance.com
612a4a82-91b8-4ebc-a8d8-e1238274bd7a,BB10000074,National ID,2023-09-12,Rejected,benjamin.walker@boltbettingcompliance.com
11f9d99c-eecf-4765-888f-3e2287f45359,BB10000074,Passport,2023-11-20,Verified,zoe.lee@boltbettingcompliance.com
0aa308c9-3b8d-4f9c-8d40-49aa63207499,BB10000075,National ID,2023-07-15,invalid,chloe.clark@boltbettingcompliance.com
c8da19b8-8106-41ce-97ce-9d7f52bd31af,BB10000075,National ID,2023-08-23,Rejected,sarah.davis@boltbettingcompliance.com
c022c9b9-c53a-42f3-8dca-5911101fb095,BB10000075,Passport,2024-04-25,Pending,emily.jones@boltbettingcompliance.com
21971cdf-9680-4563-9f13-9b990283655c,BB10000075,Driver License,2024-04-14,invalid,megan.martin@boltbettingcompliance.com
76b80a8b-674e-41db-9448-dcfc2d64ec1e,BB10000076,National ID,2023-08-27,,brian.anderson@boltbettingcompliance.com
ba5826bb-9ced-4ed0-a3c4-3c6499efbdc1,BB10000076,Utility Bill,2023-12-30,Rejected,john.smith@boltbettingcompliance.com
65fcf677-1265-43d7-9072-523c76c3de26,BB10000076,Driver License,2024-01-13,Verified,chloe.clark@boltbettingcompliance.com
757f82bb-b326-4a12-8eef-0b6aeec6a7a8,BB10000077,Passport,2023-07-18,invalid,john.smith@boltbettingcompliance.com
da91ec18-2592-403e-9c12-c77a772fa115,BB10000077,Driver License,2024-03-04,Verified,daniel.miller@boltbettingcompliance.com
7d8db647-6e00-4bad-9279-c5d2fc2c5f74,BB10000077,Driver License,2024-03-26,invalid,daniel.miller@boltbettingcompliance.com
286751f8-e9dd-41f2-9cdc-872aa79534d1,BB10000077,Utility Bill,2023-12-15,Rejected,john.smith@boltbettingcompliance.com
7a81b720-4e57-47a0-8ae2-512ee33a479a,BB10000080,National ID,2024-03-18,invalid,olivia.thomas@boltbettingcompliance.com
98028916-023e-4d0b-8b95-f7b86382ae8e,BB10000080,National ID,2024-04-16,Rejected,emma.white@boltbettingcompliance.com
6ba03d38-5c8e-46d8-8210-a3e3c29a3622,BB10000080,Utility Bill,2023-12-05,,olivia.thomas@boltbettingcompliance.com
b1ef7546-f038-4399-99cc-29c4d0ac1939,BB10000081,Passport,2023-05-09,Rejected,lisa.wilson@boltbettingcompliance.com
d2c3bc5b-b5c6-4c64-8d3f-cf8b78c9ea3b,BB10000081,National ID,2023-09-08,Pending,
c5be4d97-a785-4755-83b6-91e0406efa10,BB10000081,Driver License,2023-06-11,invalid,
ffa6e4f3-40d1-43fd-b1e3-295ab2f70d9a,BB10000081,Driver License,2023-06-19,invalid,daniel.miller@boltbettingcompliance.com
0cf2f133-3a7c-4f34-ba9f-7de183f1527c,BB10000082,Utility Bill,2024-04-23,Pending,benjamin.walker@boltbettingcompliance.com
7956521a-50a8-40e8-be39-e7b0b5f53767,BB10000083,Driver License,2024-03-30,Rejected,zoe.lee@boltbettingcompliance.com
983de282-2da1-4208-b192-311fa0cac786,BB10000083,Driver License,2024-05-02,,ryan.harris@boltbettingcompliance.com
9984fc1b-b355-47f7-910e-b126328afcc0,BB10000083,Driver License,2024-06-17,invalid,laura.taylor@boltbettingcompliance.com
efdbc331-b026-40e3-a016-2f3fc3f6ade4,BB10000083,Utility Bill,2024-04-05,Verified,chloe.clark@boltbettingcompliance.com
85e0bdef-efc0-4232-9b4c-0c9b3f54f0fd,BB10000083,National ID,2023-09-06,,sarah.davis@boltbettingcompliance.com
3bbe0cba-ac71-49db-8f1b-206b378e165c,BB10000083,National ID,2023-10-27,Pending,joshua.jackson@boltbettingcompliance.com
ff635510-b1fe-462e-b523-1bd5fa4807fd,BB10000084,Driver License,2023-06-10,Pending,
87e5f42a-fb2a-4265-87cc-48a7780e2930,BB10000084,Driver License,2023-07-19,Rejected,sarah.davis@boltbettingcompliance.com
1b09dffa-58e5-4cf9-95cf-5f1af38a93f8,BB10000084,Driver License,2023-08-13,UNKNOWN,alex.robinson@boltbettingcompliance.com
324698b5-840e-406e-88a6-edd2bb3afd05,BB10000084,Utility Bill,2024-04-01,Pending,nathan.lewis@boltbettingcompliance.com
3b83a3eb-21be-4dad-b280-85fa4290ef42,BB10000085,Driver License,2024-04-25,,benjamin.walker@boltbettingcompliance.com
749e0182-949b-423f-b971-78e0ed37555f,BB10000085,Utility Bill,2023-06-28,invalid,
fa607dd7-a3f7-41f7-ae77-0b93011cd51d,BB10000085,Utility Bill,2023-07-13,Rejected,benjamin.walker@boltbettingcompliance.com
78834a78-9027-4b95-bf63-a032caa976a5,BB10000085,Utility Bill,2023-08-13,Verified,joshua.jackson@boltbettingcompliance.com
3228bbf4-b7fa-4929-929c-b3aece38ba1e,BB10000086,Passport,2023-11-14,Rejected,jane.doe@boltbettingcompliance.com
