txn_id,user_id,txn_type,amount,payment_method,status,txn_time
TSC10000037,BB10001332,Withdrawal,26.41,Mobile Money,cancelled,"06 March 2025, 01:55"
TSC10000038,BB10002186,Withdrawal,451.29,Bank Transfer,Pending,19/12/2024 01:21
TSC10000039,BB10002501,Withdrawal,3266.17,mpesa,processing,2025-03-17 21:05:11
TSC10000040,BB10004174,withdraw,4202.67,Mobile Money,Completed,"Dec 04, 2024 00:30"
TSC10000041,BB10002175,Deposit,2116.28,Mobile Money,SUCCESS,2025-01-19 11:40:41
TSC10000042,BB10002087,Deposit,-91.37,Crypto,Completed,"23 May 2024, 21:15"
TSC10000043,BB10001021,,2486.32,mpesa,,"Jul 29, 2024 09:16"
TSC10000044,BB10003106,,787.54,Cash,processing,2024-08-20 20:16:33
TSC10000045,BB10004752,Wd,2271.44,,SUCCESS,06-05-2024 07:00 AM
TSC10000046,BB10001391,,2528.81,Mobile Money,processing,31/07/2024 04:09
TSC10000047,BB10001632,Withdrawal,1148.7,,processing,2024-06-13 00:55:29
TSC10000048,BB10004716,,1858.29,mpesa,,"16 August 2024, 16:13"
TSC10000049,BB10000874,withdraw,4000.96,,Pending,2024-12-25 07:49:40
TSC10000050,BB10004352,Wd,4745.2,,,2024-09-17
TSC10000051,BB10003653,Withdrawal,2320.84,Cash,processing,"19 September 2024, 08:29"
TSC10000052,BB10003970,,2143.35,Cash,Failed,"Jul 22, 2024 16:03"
TSC10000053,BB10001236,Withdrawal,679.31,Crypto,cancelled,"Aug 12, 2024 15:50"
TSC10000054,BB10001695,withdraw,3825.96,Bank Transfer,,2025-04-14
TSC10000055,BB10002882,deposit,4252.58,mpesa,,2024-12-29
TSC10000056,BB10004000,Withdrawal,2376.77,mpesa,,12-15-2024 03:04 PM
TSC10000057,BB10001046,Wd,4525.34,Bank Transfer,cancelled,08/07/2024 15:43
TSC10000058,BB10002132,withdraw,2218.97,Mobile Money,cancelled,"Jan 28, 2025 10:55"
TSC10000059,BB10002067,Deposit,3720.02,Bank Transfer,Failed,05/07/2024 19:55
TSC10000060,BB10000330,Deposit,916.74,Bank Transfer,Pending,22/09/2024 17:47
TSC10000061,BB10001786,withdraw,3811.18,PayPal,,"03 May 2025, 13:29"
TSC10000062,BB10002549,Deposit,4637.32,mpesa,,26/12/2024 21:39
TSC10000063,BB10001990,Deposit,1438.07,Credit Card,SUCCESS,2024-11-26 13:39:30
TSC10000064,BB10003036,Deposit,1640.28,mpesa,Completed,01-12-2025 04:44 AM
TSC10000065,BB10003767,,798.3,Cash,SUCCESS,03-10-2025 11:48 PM
TSC10000066,BB10004854,deposit,1152.03,Credit Card,cancelled,14/02/2025 13:47
TSC10000067,BB10003105,deposit,4239.86,PayPal,Failed,"Jul 29, 2024 19:21"
TSC10000068,BB10002264,Wd,0.0,Crypto,,05-18-2024 08:57 PM
TSC10000069,BB10003901,,2185.69,Bank Transfer,Pending,08-30-2024 08:45 AM
TSC10000070,BB10004765,deposit,2607.7,mpesa,SUCCESS,"Aug 12, 2024 22:31"
TSC10000071,BB10002512,deposit,3578.55,Mobile Money,SUCCESS,"23 July 2024, 04:59"
TSC10000072,BB10003967,deposit,4880.7,Cash,processing,16/04/2025 12:53
TSC10000073,BB10002477,Deposit,545.57,Bank Transfer,SUCCESS,"Mar 23, 2025 05:35"
TSC10000074,BB10004022,Deposit,2827.73,,Failed,30/08/2024 01:57
TSC10000075,BB10003914,Deposit,1943.61,Credit Card,,2025-01-01 12:59:18
TSC10000076,BB10002490,Deposit,504.1,mpesa,processing,2024-09-28
TSC10000077,BB10003691,withdraw,2901.48,mpesa,SUCCESS,2025-04-06 04:16:30
TSC10000078,BB10001703,,3268.18,PayPal,SUCCESS,2024-10-21 17:45:20
TSC10000079,BB10004865,withdraw,1080.53,Cash,cancelled,2024-08-11 21:26:47
TSC10000080,BB10004832,,908.88,Credit Card,,05/08/2024 05:26
TSC10000081,BB10000585,Deposit,1468.82,Cash,cancelled,"28 November 2024, 04:23"
TSC10000082,BB10002231,Wd,2132.57,Bank Transfer,,"Aug 11, 2024 02:42"
TSC10000083,BB10001876,,2833.52,Bank Transfer,,"Dec 06, 2024 15:54"
TSC10000084,BB10001436,withdraw,2155.37,Cash,SUCCESS,03-31-2025 01:40 AM
TSC10000085,BB10000748,withdraw,1599.87,Credit Card,Failed,09-30-2024 12:37 AM
TSC10000086,BB10003281,Wd,349.1,Cash,processing,07-26-2024 06:05 AM
TSC10000087,BB10000010,,2256.08,Bank Transfer,Failed,2025-05-06
TSC10000088,BB10000423,Withdrawal,568.17,Cash,,11-09-2024 05:57 AM
TSC10000089,BB10004988,Withdrawal,1484.83,Bank Transfer,Completed,09/06/2024 08:27
TSC10000090,BB10003781,Deposit,685.25,Cash,Failed,05-24-2024 08:34 AM
TSC10000091,BB10001997,withdraw,1856.29,PayPal,Failed,06-16-2024 04:43 AM
TSC10000092,BB10002189,Deposit,1422.63,,cancelled,2024-12-22
TSC10000093,BB10004452,withdraw,1541.06,Crypto,Pending,2025-02-20
TSC10000094,BB10003366,Deposit,2312.18,mpesa,,"08 October 2024, 08:07"
TSC10000095,BB10000304,Withdrawal,2909.92,Credit Card,cancelled,2024-05-30 08:26:21
TSC10000096,BB10001181,withdraw,4846.78,Credit Card,Failed,"Sep 23, 2024 12:45"
TSC10000097,BB10000658,deposit,4282.65,mpesa,,"05 May 2025, 23:19"
TSC10000098,BB10004433,Deposit,1097.33,Cash,,2024-11-16 09:39:35
TSC10000099,BB10000824,withdraw,1427.28,Bank Transfer,processing,2025-04-26 19:48:37
TSC10000100,BB10001193,Withdrawal,2786.23,PayPal,Completed,2025-03-17
TSC10000101,BB10001973,withdraw,629.9,,cancelled,"May 11, 2024 08:12"
TSC10000102,BB10003812,deposit,705.68,,SUCCESS,"Jan 25, 2025 09:14"
TSC10000103,BB10002049,withdraw,916.01,mpesa,Completed,11/01/2025 03:16
TSC10000104,BB10002424,,4887.52,mpesa,SUCCESS,"19 November 2024, 06:31"
TSC10000105,BB10004968,,4511.19,Cash,Pending,2024-08-12
TSC10000106,BB10001558,Wd,3753.44,PayPal,,"27 December 2024, 06:05"
TSC10000107,BB10000274,Wd,570.2,Cash,cancelled,16/06/2024 21:24
TSC10000108,BB10002998,Wd,1289.89,PayPal,processing,10-12-2024 10:37 PM
TSC10000109,BB10002775,Deposit,284.03,Crypto,,"19 October 2024, 20:48"
TSC10000110,BB10004566,deposit,1912.33,Cash,cancelled,"Apr 20, 2025 12:29"
TSC10000111,BB10004789,withdraw,4695.49,Credit Card,cancelled,2025-03-23 01:05:14
TSC10000112,BB10002688,Wd,222.41,,Failed,"11 August 2024, 08:22"
TSC10000113,BB10000305,deposit,492.21,Crypto,Pending,11-05-2024 11:35 PM
TSC10000114,BB10004426,withdraw,3605.66,mpesa,processing,07-11-2024 09:35 AM
TSC10000115,BB10002292,Deposit,1008.08,,processing,"Apr 05, 2025 11:26"
TSC10000116,BB10004461,,1930.51,Crypto,processing,03-21-2025 02:19 AM
TSC10000117,BB10004892,Deposit,1600.9,PayPal,Pending,2024-08-24 03:39:57
TSC10000118,BB10004804,Withdrawal,1088.29,PayPal,SUCCESS,2024-12-26 12:26:54
TSC10000119,BB10001065,Wd,789.94,Bank Transfer,Failed,15/12/2024 13:39
TSC10000120,BB10002174,Deposit,2046.9,Credit Card,cancelled,07-01-2024 11:19 PM
TSC10000121,BB10000894,withdraw,4721.62,Bank Transfer,processing,"09 February 2025, 15:33"
TSC10000122,BB10000256,Deposit,4221.22,mpesa,cancelled,"20 November 2024, 03:38"
TSC10000123,BB10000662,deposit,234.98,Cash,SUCCESS,2025-02-15
TSC10000124,BB10004894,Wd,2478.31,mpesa,,2024-11-16 20:31:24
TSC10000125,BB10004517,,2093.36,Crypto,processing,05-07-2024 08:35 AM
TSC10000126,BB10002561,withdraw,1199.94,PayPal,cancelled,2024-09-02 13:02:41
TSC10000127,BB10003538,Deposit,1800.5,PayPal,SUCCESS,2024-05-14
TSC10000128,BB10003366,deposit,4699.76,mpesa,,2025-04-11 11:49:33
TSC10000129,BB10002881,Deposit,984.97,,Completed,"Mar 24, 2025 02:14"
TSC10000130,BB10002283,Wd,2088.47,Bank Transfer,,"06 March 2025, 21:45"
TSC10000131,BB10002532,deposit,825.17,PayPal,cancelled,2024-08-27 11:09:56
TSC10000132,BB10000252,Deposit,997.18,mpesa,Pending,"May 28, 2024 07:19"
TSC10000133,BB10004650,Wd,168.31,PayPal,Completed,"23 March 2025, 19:59"
TSC10000134,BB10003474,withdraw,2012.34,Crypto,Completed,"Apr 18, 2025 00:18"
TSC10000135,BB10004859,,1472.94,Crypto,SUCCESS,2024-06-07 10:23:17
TSC10000136,BB10001731,Withdrawal,1376.18,,,10-31-2024 03:38 PM
TSC10000137,BB10001886,Wd,3307.05,Mobile Money,processing,"01 June 2024, 10:16"
TSC10000138,BB10000638,deposit,2824.34,mpesa,cancelled,2025-02-08 22:49:35
TSC10000139,BB10003770,,349.46,Credit Card,SUCCESS,02-10-2025 08:41 PM
TSC10000140,BB10002542,,1598.65,PayPal,,2024-06-23 01:01:09
TSC10000141,BB10002863,deposit,4076.64,PayPal,Pending,"Oct 27, 2024 17:46"
TSC10000142,BB10000618,Withdrawal,3102.54,,processing,2024-11-23
TSC10000143,BB10004625,,3085.06,Mobile Money,Completed,08-11-2024 10:59 PM
TSC10000144,BB10002251,Wd,2487.42,Cash,Completed,2025-03-21 19:06:33
TSC10000145,BB10000740,Wd,1860.86,Bank Transfer,processing,2024-10-08
TSC10000146,BB10003897,Wd,215.56,Credit Card,processing,"Jul 23, 2024 12:08"
TSC10000147,BB10001414,Deposit,2132.57,,SUCCESS,20/11/2024 02:54
TSC10000148,BB10003174,withdraw,3362.38,Bank Transfer,,"Jan 28, 2025 17:58"
TSC10000149,BB10003167,deposit,4242.99,PayPal,SUCCESS,"19 July 2024, 14:48"
TSC10000150,BB10003211,Withdrawal,4683.81,Cash,,"Aug 29, 2024 00:00"
TSC10000151,BB10004313,Deposit,2059.37,,Failed,05/05/2025 14:48
TSC10000152,BB10003984,Withdrawal,601.58,Credit Card,processing,2024-12-30 12:14:44
TSC10000153,BB10004314,Deposit,4369.6,PayPal,Pending,14/10/2024 03:51
TSC10000154,BB10001357,,1995.38,Crypto,SUCCESS,"Nov 12, 2024 04:30"
TSC10000155,BB10001917,Wd,4824.54,,Pending,"Jun 20, 2024 08:15"
TSC10000156,BB10003610,withdraw,3868.43,mpesa,processing,28/07/2024 05:12
TSC10000157,BB10002049,Deposit,4358.0,Credit Card,SUCCESS,2024-09-07 15:08:50
TSC10000158,BB10002235,withdraw,651.48,mpesa,Pending,12-08-2024 12:32 AM
TSC10000159,BB10003399,Deposit,1807.2,mpesa,Failed,30/07/2024 04:42
TSC10000160,BB10002747,Withdrawal,1363.08,,Pending,"26 July 2024, 13:56"
TSC10000161,BB10000650,Deposit,4158.31,mpesa,Failed,02/06/2024 01:52
TSC10000162,BB10003440,,2231.28,Credit Card,cancelled,2024-12-23
TSC10000163,BB10004711,Withdrawal,1385.49,Bank Transfer,Pending,2024-07-29
TSC10000164,BB10000702,Wd,245.16,Bank Transfer,cancelled,2025-04-02 20:15:54
TSC10000165,BB10002078,,0.0,Credit Card,,"17 March 2025, 02:55"
TSC10000166,BB10002724,Withdrawal,2684.67,PayPal,,06-02-2024 12:41 AM
TSC10000167,BB10001494,Withdrawal,3858.57,,Pending,2024-08-02 01:51:43
TSC10000168,BB10002586,deposit,4944.53,,processing,"06 January 2025, 11:40"
TSC10000169,BB10000392,,534.82,Mobile Money,cancelled,"24 July 2024, 09:31"
TSC10000170,BB10002778,Withdrawal,2437.37,Cash,,06-24-2024 11:23 AM
TSC10000171,BB10001479,Wd,423.25,Mobile Money,Failed,04-13-2025 08:03 PM
TSC10000172,BB10003637,deposit,3606.75,Mobile Money,cancelled,"Dec 01, 2024 17:11"
TSC10000173,BB10000470,Deposit,1971.67,PayPal,Pending,2024-10-26
TSC10000174,BB10001035,Deposit,3190.33,Mobile Money,SUCCESS,2025-02-17 17:21:22
TSC10000175,BB10003039,deposit,292.12,PayPal,cancelled,"Feb 26, 2025 01:53"
TSC10000176,BB10000930,Deposit,2445.12,mpesa,Completed,"Jul 15, 2024 16:39"
TSC10000177,BB10001758,Wd,4574.04,,Pending,2024-06-11 13:14:34
TSC10000178,BB10003647,Deposit,4834.56,Mobile Money,,2024-10-11 14:03:42
TSC10000179,BB10002458,Withdrawal,4629.35,PayPal,SUCCESS,08/10/2024 20:33
TSC10000180,BB10001138,Withdrawal,34.05,Mobile Money,SUCCESS,24/10/2024 17:23
TSC10000181,BB10002534,withdraw,3566.24,mpesa,processing,2025-01-28
TSC10000182,BB10000608,withdraw,2538.54,PayPal,processing,2025-01-08
TSC10000183,BB10001058,withdraw,4327.88,Credit Card,Failed,01/05/2025 14:31
TSC10000184,BB10001848,deposit,2546.38,Cash,Failed,12/06/2024 02:16
TSC10000185,BB10001026,,2620.74,PayPal,SUCCESS,01/10/2024 04:51
TSC10000186,BB10004958,deposit,2774.45,Bank Transfer,,2024-09-08
TSC10000187,BB10004687,withdraw,54.46,Cash,Failed,03-17-2025 08:47 PM
TSC10000188,BB10003327,deposit,3411.93,PayPal,cancelled,08-05-2024 11:13 PM
TSC10000189,BB10002561,,4938.92,Mobile Money,Pending,"Jul 15, 2024 14:53"
TSC10000190,BB10001981,withdraw,2192.94,PayPal,Failed,10-18-2024 12:00 AM
TSC10000191,BB10001309,deposit,3577.75,Crypto,cancelled,2024-10-08
TSC10000192,BB10004075,Deposit,1905.54,,Pending,2024-08-16
TSC10000193,BB10004055,Wd,3236.73,,Completed,2024-08-06 09:18:50
TSC10000194,BB10002997,withdraw,1942.97,Crypto,Failed,2025-04-09 08:41:42
TSC10000195,BB10004505,deposit,3078.53,Credit Card,Completed,10-15-2024 11:56 PM
TSC10000196,BB10004570,deposit,915.2,mpesa,Completed,2025-03-17 17:57:00
TSC10000197,BB10003881,Wd,2991.93,PayPal,SUCCESS,"Nov 24, 2024 03:35"
TSC10000198,BB10002452,Wd,4124.28,,Failed,05-25-2024 03:00 PM
TSC10000199,BB10000898,withdraw,3963.45,Bank Transfer,Failed,"07 May 2025, 03:02"
TSC10000200,BB10004732,Withdrawal,2875.97,PayPal,,2025-03-08
TSC10000201,BB10001985,Deposit,3472.66,,Failed,04-26-2025 01:33 AM
TSC10000202,BB10003362,Wd,4594.66,Bank Transfer,SUCCESS,10/04/2025 11:52
TSC10000203,BB10003919,Wd,4779.1,,Failed,2025-03-13
TSC10000204,BB10002166,Wd,4782.42,Cash,Pending,"Jul 06, 2024 21:24"
TSC10000205,BB10004006,deposit,2758.49,Cash,SUCCESS,"31 October 2024, 12:35"
TSC10000206,BB10003233,deposit,4003.54,Cash,,2024-07-24 05:13:41
TSC10000207,BB10002101,,930.55,Cash,,"Sep 30, 2024 14:59"
TSC10000208,BB10004808,Withdrawal,3316.15,Crypto,Completed,2024-05-28 13:33:15
TSC10000209,BB10000824,,-73.57,PayPal,cancelled,09-22-2024 01:33 PM
TSC10000210,BB10002354,deposit,201.73,Credit Card,Pending,2025-05-02
TSC10000211,BB10000306,Withdrawal,4171.78,Bank Transfer,cancelled,08-12-2024 12:16 AM
TSC10000212,BB10002372,Deposit,0.0,Credit Card,Failed,"Feb 17, 2025 12:32"
TSC10000213,BB10004296,withdraw,584.42,,processing,2024-10-20 08:03:52
TSC10000214,BB10002108,,3656.75,Cash,processing,08/10/2024 15:33
TSC10000215,BB10003322,withdraw,342.36,Credit Card,Pending,04-21-2025 07:11 PM
TSC10000216,BB10002137,withdraw,3744.16,Mobile Money,,2025-05-05
TSC10000217,BB10001936,Deposit,2273.51,PayPal,SUCCESS,"26 November 2024, 03:18"
TSC10000218,BB10002417,deposit,1017.56,PayPal,cancelled,"24 January 2025, 12:57"
TSC10000219,BB10004500,withdraw,3990.17,Crypto,,2024-07-02
TSC10000220,BB10003660,Wd,298.32,Credit Card,SUCCESS,2024-08-23
TSC10000221,BB10001348,deposit,2153.39,Crypto,cancelled,2025-04-25 23:02:39
TSC10000222,BB10000456,withdraw,2018.67,Bank Transfer,,"Dec 04, 2024 16:31"
TSC10000223,BB10000025,,272.45,mpesa,Completed,2024-11-21
TSC10000224,BB10000566,withdraw,1985.22,PayPal,,"04 February 2025, 08:08"
TSC10000225,BB10003134,withdraw,4524.51,mpesa,,2024-05-28
TSC10000226,BB10000972,Withdrawal,1904.6,PayPal,Pending,2024-12-06 12:19:52
TSC10000227,BB10003793,,2063.05,mpesa,Pending,11-06-2024 07:26 PM
TSC10000228,BB10000925,Deposit,2038.13,Bank Transfer,Completed,2025-03-14 14:18:30
TSC10000229,BB10000399,Withdrawal,1951.55,Crypto,processing,2024-07-03 15:35:17
TSC10000230,BB10001919,,2845.12,Mobile Money,Pending,"23 April 2025, 01:31"
TSC10000231,BB10002255,Deposit,2917.5,PayPal,cancelled,2024-06-05
TSC10000232,BB10003123,Wd,2023.26,PayPal,Pending,2024-07-14
TSC10000233,BB10002464,,2261.43,Bank Transfer,cancelled,2024-12-10
TSC10000234,BB10002089,Withdrawal,303.26,,Completed,2025-01-08
TSC10000235,BB10002200,withdraw,2974.9,Credit Card,processing,2024-08-01
TSC10000236,BB10003928,Withdrawal,1598.12,Bank Transfer,Pending,"19 June 2024, 22:28"
TSC10000237,BB10003924,Withdrawal,3489.22,mpesa,SUCCESS,"Mar 28, 2025 07:36"
TSC10000238,BB10004372,,1233.96,,processing,"05 August 2024, 01:50"
TSC10000239,BB10001665,deposit,133.15,Crypto,Completed,"Dec 10, 2024 06:58"
TSC10000240,BB10003421,deposit,1582.31,mpesa,Pending,12-19-2024 08:55 AM
TSC10000241,BB10002766,deposit,2391.97,,,"Oct 07, 2024 06:23"
TSC10000242,BB10004001,Withdrawal,2664.9,Bank Transfer,processing,2024-12-06 07:54:06
TSC10000243,BB10000053,withdraw,3116.58,Credit Card,Completed,14/11/2024 02:09
TSC10000244,BB10003959,,-66.28,,SUCCESS,"13 April 2025, 12:58"
TSC10000245,BB10000141,Wd,3337.57,PayPal,Completed,2024-07-20
TSC10000246,BB10004313,deposit,1263.36,mpesa,cancelled,01-23-2025 05:32 PM
TSC10000247,BB10001851,deposit,4224.12,Bank Transfer,cancelled,08-02-2024 07:50 AM
TSC10000248,BB10000078,,2449.28,mpesa,Failed,2024-09-28
TSC10000249,BB10004327,Deposit,4496.49,,Completed,"07 January 2025, 11:26"
TSC10000250,BB10004617,,4636.71,,Pending,2024-08-24
TSC10000251,BB10003263,Deposit,2776.19,mpesa,SUCCESS,"Aug 30, 2024 15:06"
TSC10000252,BB10000643,Wd,1663.88,Credit Card,processing,2025-02-05 18:14:03
TSC10000253,BB10004880,withdraw,1564.52,Cash,cancelled,06-02-2024 03:27 PM
TSC10000254,BB10003076,withdraw,2887.96,mpesa,SUCCESS,"Oct 21, 2024 12:47"
TSC10000255,BB10000673,deposit,3529.55,PayPal,,"May 06, 2025 19:46"
TSC10000256,BB10002526,withdraw,1275.81,PayPal,cancelled,05-05-2025 11:06 PM
TSC10000257,BB10000847,Deposit,2726.52,Mobile Money,Completed,"Jun 02, 2024 21:45"
TSC10000258,BB10004584,Withdrawal,764.87,mpesa,Failed,"Jul 24, 2024 00:01"
TSC10000259,BB10001370,withdraw,1428.74,Credit Card,Pending,"12 August 2024, 00:15"
TSC10000260,BB10001602,withdraw,1453.76,mpesa,SUCCESS,04-13-2025 12:17 AM
TSC10000261,BB10002743,withdraw,4283.49,PayPal,SUCCESS,"24 March 2025, 21:00"
TSC10000262,BB10003263,deposit,3444.28,,processing,24/03/2025 07:02
TSC10000263,BB10003219,deposit,2775.64,PayPal,SUCCESS,2024-09-19 02:45:22
TSC10000264,BB10001718,withdraw,4139.54,Credit Card,processing,07-03-2024 06:20 PM
TSC10000265,BB10002481,Withdrawal,686.13,mpesa,Completed,03-07-2025 03:58 PM
TSC10000266,BB10003284,Wd,4594.0,mpesa,processing,"Jan 19, 2025 02:37"
TSC10000267,BB10004865,,457.78,Crypto,Failed,16/12/2024 13:23
TSC10000268,BB10003274,deposit,2095.32,Bank Transfer,Pending,2025-05-02
TSC10000269,BB10004713,Withdrawal,1894.78,PayPal,Completed,01-01-2025 12:10 AM
TSC10000270,BB10000704,Deposit,3623.77,Mobile Money,cancelled,10/05/2024 00:08
TSC10000271,BB10000800,withdraw,2207.48,Credit Card,processing,"01 March 2025, 14:06"
TSC10000272,BB10000896,,4642.6,Crypto,SUCCESS,24/08/2024 11:51
TSC10000273,BB10003786,Withdrawal,3111.78,PayPal,cancelled,01-04-2025 10:40 AM
TSC10000274,BB10001617,withdraw,1883.06,Crypto,processing,"15 April 2025, 02:00"
TSC10000275,BB10000834,Wd,1562.52,,,06-25-2024 04:44 AM
TSC10000276,BB10004891,withdraw,2893.72,Mobile Money,cancelled,2024-06-18
TSC10000277,BB10002437,Wd,3327.76,Mobile Money,Failed,2024-06-15 05:49:20
TSC10000278,BB10004185,withdraw,603.12,mpesa,cancelled,"25 November 2024, 04:59"
TSC10000279,BB10001420,Wd,1373.06,PayPal,cancelled,2024-08-14
TSC10000280,BB10000079,withdraw,4057.6,,cancelled,12-14-2024 01:21 AM
TSC10000281,BB10001371,Deposit,3958.99,Crypto,Failed,24/01/2025 05:59
TSC10000282,BB10003747,Wd,3806.19,Credit Card,Failed,2024-07-20
TSC10000283,BB10000341,,1014.56,mpesa,processing,"24 December 2024, 19:08"
TSC10000284,BB10000265,withdraw,4297.22,Credit Card,Completed,11/08/2024 13:35
TSC10000285,BB10002873,,2083.65,PayPal,processing,01/11/2024 13:55
TSC10000286,BB10004361,deposit,758.72,Cash,Failed,2025-04-02
TSC10000287,BB10000781,Withdrawal,3907.02,Bank Transfer,processing,"12 March 2025, 04:18"
TSC10000288,BB10002046,Withdrawal,4125.26,mpesa,SUCCESS,"09 June 2024, 20:38"
TSC10000289,BB10003703,Deposit,4388.64,Credit Card,,"Oct 08, 2024 20:32"
TSC10000290,BB10003725,withdraw,-87.39,Credit Card,cancelled,"16 August 2024, 04:52"
TSC10000291,BB10000519,Wd,4837.46,Crypto,Failed,"May 08, 2024 10:39"
TSC10000292,BB10004638,withdraw,4460.19,Bank Transfer,,02-12-2025 07:00 PM
TSC10000293,BB10001295,withdraw,4958.38,mpesa,,25/12/2024 20:21
TSC10000294,BB10002245,Deposit,1176.99,Mobile Money,,10/08/2024 19:48
TSC10000295,BB10001919,withdraw,3488.86,Bank Transfer,Completed,01/02/2025 21:01
TSC10000296,BB10003646,Deposit,0.0,Mobile Money,processing,11-24-2024 03:28 PM
TSC10000297,BB10001876,withdraw,4010.38,Credit Card,Failed,10/10/2024 08:34
TSC10000298,BB10001091,,628.55,Bank Transfer,Pending,05-10-2024 04:19 PM
TSC10000299,BB10001241,withdraw,2156.16,Crypto,Completed,03/06/2024 15:08
TSC10000300,BB10003146,deposit,1503.97,PayPal,,2025-03-25 16:40:09
TSC10000301,BB10004978,deposit,3421.43,Cash,SUCCESS,2025-04-02
TSC10000302,BB10000448,Withdrawal,474.99,,Completed,2024-11-22
TSC10000303,BB10002959,deposit,4290.15,mpesa,,07/03/2025 23:25
TSC10000304,BB10000598,Deposit,-29.65,Crypto,Completed,12-05-2024 09:42 PM
TSC10000305,BB10004105,withdraw,1951.61,PayPal,Failed,2024-06-30 05:43:30
TSC10000306,BB10001273,Wd,2890.83,Credit Card,cancelled,"22 June 2024, 16:43"
TSC10000307,BB10002003,Deposit,491.53,Bank Transfer,,"27 August 2024, 17:41"
TSC10000308,BB10001125,,0.0,,SUCCESS,2025-03-31
TSC10000309,BB10001368,deposit,3883.73,Cash,Completed,2025-02-21 22:11:15
TSC10000310,BB10004292,Deposit,4872.76,Credit Card,SUCCESS,"Mar 17, 2025 12:16"
TSC10000311,BB10001368,deposit,3843.98,Credit Card,SUCCESS,2025-03-31 11:19:41
TSC10000312,BB10002004,Deposit,1853.2,PayPal,processing,2024-07-22 21:03:03
TSC10000313,BB10003436,Withdrawal,2022.91,Mobile Money,Completed,2024-08-06
TSC10000314,BB10000432,Withdrawal,2530.45,Bank Transfer,Completed,06-13-2024 04:38 PM
TSC10000315,BB10002546,deposit,2229.41,Mobile Money,SUCCESS,"Feb 16, 2025 01:52"
TSC10000316,BB10003017,Wd,4988.71,Crypto,SUCCESS,26/03/2025 01:40
TSC10000317,BB10000196,Withdrawal,3143.3,Bank Transfer,Completed,"02 October 2024, 13:46"
TSC10000318,BB10002520,Deposit,4913.89,mpesa,Completed,19/12/2024 20:08
TSC10000319,BB10001897,Wd,4467.45,,Completed,2024-07-02
